都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|59,774|1,072,616|1,214|18|57,152|1,466
青森|5,466|82,192|446|6|4,987|33
岩手|3,465|116,687|96|0|3,318|51
宮城|16,004|230,763|445|13|15,432|113
秋田|1,832|24,856|71|2|1,735|26
山形|3,461|91,647|96|3|3,309|56
福島|9,375|392,782|199|6|9,002|174
茨城|23,771|38,857|837|19|22,722|212
栃木|14,937|470,541|551|13|14,277|109
群馬|16,357|279,287|348|16|15,840|169
埼玉|113,214|1,397,102|4,689|92|107,550|975
千葉|98,318|1,023,263|3,607|65|93,737|974
東京|372,292|3,508,121|8,629|169|360,862|2,801
神奈川|165,825|1,523,796|3,998|119|160,603|1,224
新潟|7,626|268,619|348|8|7,220|58
富山|4,748|108,900|114|7|4,586|48
石川|7,754|183,845|198|3|7,411|123
福井|2,944|110,082|124|0|2,784|36
山梨|4,957|105,725|190|1|4,739|29
長野|8,619|296,794|268|1|8,308|95
岐阜|18,357|386,271|657|13|17,657|208
静岡|26,261|586,213|1,213|10|24,848|200
愛知|103,301|1,211,715|9,220|67|92,977|1,104
三重|14,461|209,444|685|12|13,939|155
滋賀|12,037|242,550|402|6|11,536|99
京都|34,999|404,350|2,534|49|32,158|260
大阪|196,042|3,267,441|9,903|478|181,282|2,918
兵庫|75,732|711,847|3,023|60|71,331|1,378
奈良|15,406|237,186|567|13|14,694|145
和歌山|5,155|62,940|123|6|4,870|59
鳥取|1,632|139,504|73|1|1,531|5
島根|1,552|50,282|47|1|1,503|2
岡山|14,978|249,075|615|13|14,091|135
広島|21,178|844,713|496|11|20,144|191
山口|5,507|173,420|133|1|5,286|88
徳島|3,198|98,793|149|2|2,985|64
香川|4,643|123,893|99|4|4,507|36
愛媛|5,028|143,006|117|4|4,830|81
高知|4,042|93,047|96|1|3,915|31
福岡|73,165|1,196,737|4,587|27|67,909|595
佐賀|5,667|96,715|105|1|5,575|29
長崎|5,896|170,883|187|2|5,639|71
熊本|14,086|118,950|467|10|13,488|131
大分|7,938|248,761|228|3|7,633|77
宮崎|6,048|71,159|213|6|5,725|39
鹿児島|9,017|163,651|291|5|8,723|63
沖縄|48,780|377,142|2,466|62|45,655|290
（その他）|149|-|0|-|149|-
合計|1,674,994|23,006,163|65,164|1,429|1,590,154|17,226
