都道府県名|陽性者数 検査人数※3||％
北海道|8,274|143,394|5.8%
青森 ※3|287|6,569|4.4%
※3※4※5 岩手|183|9,057|2.0%
宮城 ※3※5|1,181|18,642|6.3%
秋田|90|3,500|2.6%
山形|122|7,425|1.6%
福島 ※3|496|39,392|1.3%
茨城|1,508|16,407|9.2%
栃木 ※3※5|619|53,084|1.2%
群馬 ※3※5|1,177|35,486|3.3%
埼玉 ※4|8,222|230,760|3.6%
千葉|6,864|161,405|4.3%
東京 ※1|40,210|750,084|5.4%
神奈川|12,327|249,352|4.9%
新潟 ※3※5|329|22,133|1.5%
富山 ※3※5|457|16,966|2.7%
石川 ※3|846|21,792|3.9%
福井 ※3|314|14,585|2.2%
山梨 ※3|336|13,459|2.5%
⾧野 ※3※5|691|30,587|2.3%
岐阜 ※5|1,034|33,315|3.1%
静岡 ※3※4|1,447|55,546|2.6%
※3※4※5 愛知|9,632|135,512|7.1%
三重 ※3|826|19,848|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|777|27,370|2.8%
京都|2,585|64,192|4.0%
大阪 ※3※5|19,630|317,766|6.2%
※3※4※5 兵庫|5,314|93,326|5.7%
奈良 ※5|1,106|31,912|3.5%
和歌山|436|13,187|3.3%
鳥取 ※3※4|58|16,327|0.4%
島根 ※5|146|6,772|2.2%
岡山 ※4|583|19,205|3.0%
広島 ※3|785|34,211|2.3%
山口 ※4|381|17,013|2.2%
徳島 ※3|181|7,809|2.3%
香川 ※5|138|16,739|0.8%
愛媛|304|6,862|4.4%
高知|149|3,752|4.0%
※3※4※5 福岡|5,758|199,025|2.9%
佐賀 ※3|307|9,571|3.2%
⾧崎|265|26,776|1.0%
熊本|1,006|23,727|4.2%
大分|273|27,113|1.0%
宮崎|477|9,431|5.1%
鹿児島|612|27,152|2.3%
沖縄 ※3|4,247|72,029|5.9%
⾧崎船 ※2 その他|149|0|-
合計|143,139|3,159,567|4.5%
