都道府県名|陽性者数 検査人数※3||％
北海道|5,494|108,980|5.0%
青森 ※3|279|6,182|4.5%
※3※4※5 岩手|75|6,491|1.2%
宮城 ※3※5|988|16,359|6.0%
秋田|73|2,872|2.5%
山形|98|7,037|1.4%
福島 ※3|438|35,528|1.2%
茨城|977|14,972|6.5%
栃木 ※3※5|517|48,552|1.1%
群馬 ※3※5|961|33,002|2.9%
埼玉 ※4|6,908|208,239|3.3%
千葉|5,858|146,179|4.0%
東京 ※1|34,931|673,255|5.2%
神奈川|10,216|225,019|4.5%
新潟 ※3※5|226|19,877|1.1%
富山 ※3※5|428|15,472|2.8%
石川 ※3|830|19,744|4.2%
福井 ※3|274|12,283|2.2%
山梨 ※3|283|12,678|2.2%
⾧野 ※3※5|471|26,206|1.8%
岐阜 ※5|823|29,514|2.8%
静岡 ※3※4|894|48,984|1.8%
※3※4※5 愛知|7,701|114,785|6.7%
三重 ※3|621|17,127|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|672|14,966|4.5%
京都|2,296|57,297|4.0%
大阪 ※3※5|15,494|272,190|5.7%
※3※4※5 兵庫|3,974|78,033|5.1%
奈良 ※5|858|28,118|3.1%
和歌山|333|11,350|2.9%
鳥取 ※3|52|6,145|0.8%
島根 ※5|141|6,354|2.2%
岡山 ※4|399|14,762|2.7%
広島 ※3|701|30,258|2.3%
山口 ※4|267|12,510|2.1%
徳島 ※3|171|7,665|2.2%
香川 ※5|115|15,083|0.8%
愛媛|130|4,643|2.8%
高知|144|3,690|3.9%
※3※4※5 福岡|5,387|180,556|3.0%
佐賀 ※3|279|8,136|3.4%
⾧崎|251|24,657|1.0%
熊本|915|21,896|4.2%
大分|168|23,108|0.7%
宮崎|374|8,836|4.2%
鹿児島|558|24,895|2.2%
沖縄 ※3|3,768|65,248|5.8%
⾧崎船 ※2 その他|149|0|-
合計|117,960|2,769,733|4.3%
