都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|60,359|1,110,519|258|2|58,658|1,469
青森|5,746|88,555|134|4|5,574|38
岩手|3,485|121,681|7|0|3,426|52
宮城|16,235|240,278|74|2|16,040|117
秋田|1,891|26,583|32|1|1,833|26
山形|3,510|97,999|15|0|3,439|56
福島|9,463|409,364|34|4|9,255|174
茨城|24,264|40,174|167|9|23,881|216
栃木|15,344|482,415|152|3|15,076|116
群馬|16,628|295,469|100|5|16,355|173
埼玉|115,151|1,451,619|909|33|113,230|1,012
千葉|99,938|1,066,191|587|31|98,301|1,005
東京|376,496|3,652,570|1,869|70|371,633|2,994
神奈川|168,189|1,599,330|843|45|166,070|1,276
新潟|7,931|285,905|144|3|7,726|61
富山|4,816|114,408|30|1|4,735|51
石川|7,911|194,545|86|1|7,679|124
福井|3,073|116,510|30|0|3,006|37
山梨|5,134|111,974|35|0|5,070|29
長野|8,783|316,092|71|1|8,671|96
岐阜|18,880|407,121|227|3|18,626|216
静岡|26,671|617,555|61|3|26,401|209
愛知|105,703|1,304,445|1,003|18|103,557|1,143
三重|14,679|262,689|131|2|14,706|163
滋賀|12,315|254,510|134|1|12,079|102
京都|35,653|420,703|496|14|34,848|283
大阪|200,760|3,457,765|2,217|180|193,816|2,990
兵庫|77,733|745,411|726|25|75,618|1,389
奈良|15,726|248,814|125|4|15,452|149
和歌山|5,274|65,263|46|6|5,063|61
鳥取|1,645|145,921|16|0|1,601|5
島根|1,632|55,076|34|0|1,594|4
岡山|15,162|262,448|105|3|14,843|136
広島|21,765|889,244|219|4|21,347|199
山口|5,619|186,064|62|0|5,467|90
徳島|3,274|103,623|33|0|3,176|65
香川|4,692|128,367|20|1|4,634|38
愛媛|5,226|148,626|101|2|5,044|81
高知|4,116|97,223|23|3|4,062|31
福岡|74,115|1,248,001|630|19|72,856|615
佐賀|5,784|103,145|57|1|5,742|29
長崎|6,022|178,799|63|0|5,888|72
熊本|14,322|122,738|97|4|14,090|135
大分|8,146|263,080|80|1|7,982|84
宮崎|6,142|72,732|22|0|6,063|41
鹿児島|9,069|167,498|27|0|9,039|65
沖縄|49,821|394,290|477|17|48,932|332
その他（その他）|149|0|0|0|149|0
合計|1,704,442|24,173,332|12,809|526|1,672,333|17,849
