都道府県名|陽性者数 検査人数※3||％
北海道|17,445|319,815|5.5%
青森 ※3|717|13,197|5.4%
※3※4※5 岩手|496|20,046|2.5%
宮城 ※3※5|3,397|48,365|7.0%
秋田|261|6,370|4.1%
山形|503|14,118|3.6%
福島 ※3|1,727|85,030|2.0%
茨城|4,818|23,081|20.9%
栃木 ※3※5|3,771|105,819|3.6%
群馬 ※3※5|3,867|74,179|5.2%
埼玉 ※4|25,191|450,466|5.6%
千葉|22,316|326,936|6.8%
東京 ※1|99,841|1,309,999|7.6%
神奈川|40,764|491,045|8.3%
新潟 ※3※5|910|36,925|2.5%
富山 ※3※5|870|30,685|2.8%
石川 ※3|1,462|40,540|3.6%
福井 ※3|514|26,913|1.9%
山梨 ※3|898|14,741|6.1%
長野 ※3※5|2,288|80,987|2.8%
岐阜 ※5|4,216|104,556|4.0%
静岡 ※3※4|4,585|142,180|3.2%
※3※4※5 愛知|23,901|309,425|7.7%
三重 ※3|2,188|46,585|4.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,123|55,762|3.8%
京都|8,200|127,431|6.4%
大阪 ※3※5|43,722|650,540|6.7%
※3※4※5 兵庫|16,357|201,882|8.1%
奈良 ※5|3,034|67,562|4.5%
和歌山|1,063|21,551|4.9%
鳥取 ※3※4|198|33,712|0.6%
島根 ※5|268|12,166|2.2%
岡山 ※4|2,338|51,686|4.5%
広島 ※3|4,801|120,841|4.0%
山口 ※4|1,235|45,815|2.7%
徳島 ※3|385|21,821|1.8%
香川 ※5|645|37,516|1.7%
愛媛|993|25,562|3.9%
高知|847|6,897|12.3%
※3※4※5 福岡|16,176|369,295|4.4%
佐賀 ※3|951|23,806|4.0%
長崎|1,474|56,979|2.6%
熊本|3,339|51,512|6.5%
大分|1,158|63,256|1.8%
宮崎|1,808|22,673|8.0%
鹿児島|1,598|54,720|2.9%
沖縄 ※3|7,550|125,312|6.0%
長崎船 ※2 その他|149|0|-
合計|387,358|6,370,300|6.1%
