都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|433,001|2,524,986|28,653|3|398,650|2,128
青森|83,563|297,051|11,568|0|71,859|136
岩手|50,696|336,342|7,155|0|43,436|105
宮城|121,556|687,699|15,487|9|103,415|207
秋田|41,711|67,324|7,162|1|34,472|77
山形|38,793|211,038|5,413|0|33,287|103
福島|80,110|928,607|9,215|1|70,666|229
茨城|194,647|1,477,266|14,733|2|179,447|467
栃木|118,202|814,212|16,835|3|101,076|291
群馬|124,137|736,339|20,109|3|103,694|334
埼玉|711,467|3,228,336|91,024|23|618,772|1,671
千葉|579,456|2,398,585|56,538|9|512,696|1,843
東京|2,024,564|7,874,005|233,092|24|1,786,835|4,637
神奈川|967,736|3,637,006|76,955|38|888,499|2,282
新潟|97,114|750,482|13,053|6|83,970|91
富山|54,068|284,093|10,715|3|43,252|101
石川|76,839|566,768|9,937|0|66,679|200
福井|51,763|372,076|7,254|0|44,456|53
山梨|45,189|401,267|6,101|0|39,056|71
長野|98,327|835,295|9,396|0|85,086|209
岐阜|139,877|1,025,127|16,706|3|120,396|360
静岡|238,727|1,449,198|29,499|3|206,065|440
愛知|722,965|3,128,285|92,641|13|628,197|2,127
三重|115,220|601,120|16,409|0|100,848|332
滋賀|118,722|732,379|13,635|1|104,859|228
京都|268,121|942,219|35,819|55|226,045|767
大阪|1,286,167|8,096,537|180,548|41|1,100,328|5,291
兵庫|552,762|1,832,663|60,599|19|489,877|2,297
奈良|120,473|596,938|17,343|11|102,726|404
和歌山|60,947|212,538|6,677|2|53,878|127
鳥取|25,383|494,549|4,569|0|20,538|23
島根|39,889|273,942|8,232|5|31,619|38
岡山|127,365|657,510|5,799|1|107,799|256
広島|198,897|2,084,544|16,360|9|182,024|513
山口|66,847|661,736|10,742|1|55,910|195
徳島|32,772|249,695|4,696|2|28,016|89
香川|65,168|313,927|8,514|1|56,514|140
愛媛|66,076|437,074|11,386|1|54,540|150
高知|40,462|352,706|5,611|5|34,732|119
福岡|601,522|3,144,301|77,642|9|505,029|1,334
佐賀|82,128|331,538|10,794|0|66,241|125
長崎|90,034|511,042|12,859|1|77,098|140
熊本|171,850|372,887|25,980|9|145,512|358
大分|84,806|696,574|12,798|0|71,827|181
宮崎|84,822|205,242|14,434|1|70,078|160
鹿児島|134,468|514,607|19,757|1|111,157|226
沖縄|337,944|1,019,225|38,666|27|298,646|507
その他（その他）|149|0|0|0|149|0
合計|11,867,502|59,366,880|1,409,110|346|10,359,951|32,162
