都道府県名|陽性者数 検査人数※3||％
北海道|15,106|266,324|5.7%
青森 ※3|582|11,585|5.0%
※3※4※5 岩手|444|16,081|2.8%
宮城 ※3※5|2,709|26,860|10.1%
秋田|178|5,154|3.5%
山形|435|11,369|3.8%
福島 ※3|1,299|66,638|1.9%
茨城|3,354|20,317|16.5%
栃木 ※3※5|2,839|83,675|3.4%
群馬 ※3※5|3,006|60,650|5.0%
埼玉 ※4|18,827|367,445|5.1%
千葉|15,395|255,252|6.0%
東京 ※1|78,566|1,122,820|7.0%
神奈川|29,707|399,368|7.4%
新潟 ※3※5|720|31,768|2.3%
富山 ※3※5|743|24,786|3.0%
石川 ※3|1,248|34,033|3.7%
福井 ※3|402|22,004|1.8%
山梨 ※3|774|14,741|5.3%
長野 ※3※5|1,768|61,266|2.9%
岐阜 ※5|3,197|80,274|4.0%
静岡 ※3※4|3,507|106,902|3.3%
※3※4※5 愛知|19,747|246,866|8.0%
三重 ※3|1,644|32,398|5.1%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,612|44,399|3.6%
京都|6,079|105,473|5.8%
大阪 ※3※5|35,842|534,100|6.7%
※3※4※5 兵庫|12,401|162,297|7.6%
奈良 ※5|2,451|56,489|4.3%
和歌山|798|18,300|4.4%
鳥取 ※3※4|166|28,521|0.6%
島根 ※5|228|10,183|2.2%
岡山 ※4|1,929|35,839|5.4%
広島 ※3|4,162|97,583|4.3%
山口 ※4|742|32,146|2.3%
徳島 ※3|268|16,967|1.6%
香川 ※5|460|30,007|1.5%
愛媛|734|16,460|4.5%
高知|754|6,196|12.2%
※3※4※5 福岡|11,757|298,734|3.9%
佐賀 ※3|672|17,389|3.9%
長崎|1,080|46,310|2.3%
熊本|2,504|40,894|6.1%
大分|869|50,887|1.7%
宮崎|1,381|18,071|7.6%
鹿児島|1,301|46,478|2.8%
沖縄 ※3|6,037|97,679|6.2%
長崎船 ※2 その他|149|0|-
合計|300,573|5,179,978|5.8%
