都道府県名|陽性者数 検査人数※3||％
北海道|13,685|242,370|5.6%
青森 ※3|506|10,014|5.1%
※3※4※5 岩手|394|14,494|2.7%
宮城 ※3※5|2,232|24,910|9.0%
秋田|146|4,565|3.2%
山形|397|10,193|3.9%
福島 ※3|983|58,511|1.7%
茨城|2,560|18,572|13.8%
栃木 ※3※5|1,662|73,728|2.3%
群馬 ※3※5|2,412|52,671|4.6%
埼玉 ※4|14,937|322,873|4.6%
千葉|11,683|227,912|5.1%
東京 ※1|62,590|996,675|6.3%
神奈川|22,480|342,311|6.6%
新潟 ※3※5|565|28,372|2.0%
富山 ※3※5|572|21,742|2.6%
石川 ※3|1,105|30,157|3.7%
福井 ※3|359|19,660|1.8%
山梨 ※3|568|14,525|3.9%
長野 ※3※5|1,242|48,235|2.6%
岐阜 ※5|2,442|66,112|3.7%
静岡 ※3※4|2,788|94,030|3.0%
※3※4※5 愛知|16,905|199,918|8.5%
三重 ※3|1,324|30,675|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,260|38,138|3.3%
京都|4,803|95,241|5.0%
大阪 ※3※5|30,772|472,962|6.5%
※3※4※5 兵庫|10,236|142,967|7.2%
奈良 ※5|2,108|47,698|4.4%
和歌山|652|16,669|3.9%
鳥取 ※3※4|123|24,313|0.5%
島根 ※5|214|9,344|2.3%
岡山 ※4|1,440|31,723|4.5%
広島 ※3|3,466|75,233|4.6%
山口 ※4|597|26,760|2.2%
徳島 ※3|199|15,373|1.3%
香川 ※5|311|24,487|1.3%
愛媛|484|13,766|3.5%
高知|687|5,995|11.5%
※3※4※5 福岡|8,774|268,262|3.3%
佐賀 ※3|477|15,063|3.2%
長崎|703|40,149|1.8%
熊本|1,947|37,210|5.2%
大分|720|43,455|1.7%
宮崎|759|12,454|6.1%
鹿児島|1,033|40,094|2.6%
沖縄 ※3|5,451|90,347|6.0%
長崎船 ※2 その他|149|0|-
合計|241,902|4,540,928|5.3%
