都道府県名|陽性者数 検査人数※3||％
北海道|15,943|282,589|5.6%
青森 ※3|644|12,007|5.4%
※3※4※5 岩手|471|17,000|2.8%
宮城 ※3※5|2,967|44,081|6.7%
秋田|216|5,776|3.7%
山形|443|11,708|3.8%
福島 ※3|1,469|71,316|2.1%
茨城|3,875|21,272|18.2%
栃木 ※3※5|3,246|89,126|3.6%
群馬 ※3※5|3,327|64,692|5.1%
埼玉 ※4|21,113|385,031|5.5%
千葉|17,681|270,107|6.5%
東京 ※1|86,674|1,181,020|7.3%
神奈川|34,142|412,964|8.3%
新潟 ※3※5|767|33,115|2.3%
富山 ※3※5|802|27,248|2.9%
石川 ※3|1,337|35,927|3.7%
福井 ※3|456|23,124|2.0%
山梨 ※3|847|14,741|5.7%
長野 ※3※5|2,014|65,212|3.1%
岐阜 ※5|3,553|87,355|4.1%
静岡 ※3※4|3,912|121,391|3.2%
※3※4※5 愛知|21,269|267,095|8.0%
三重 ※3|1,800|35,367|5.1%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,771|47,875|3.7%
京都|6,463|111,064|5.8%
大阪 ※3※5|38,526|550,329|7.0%
※3※4※5 兵庫|13,809|172,297|8.0%
奈良 ※5|2,649|59,609|4.4%
和歌山|885|19,270|4.6%
鳥取 ※3※4|177|29,861|0.6%
島根 ※5|235|10,827|2.2%
岡山 ※4|2,102|35,898|5.9%
広島 ※3|4,396|107,047|4.1%
山口 ※4|921|35,818|2.6%
徳島 ※3|297|17,920|1.7%
香川 ※5|538|32,266|1.7%
愛媛|827|19,124|4.3%
高知|779|6,404|12.2%
※3※4※5 福岡|13,420|319,027|4.2%
佐賀 ※3|793|19,242|4.1%
長崎|1,246|49,331|2.5%
熊本|2,939|46,061|6.4%
大分|933|53,982|1.7%
宮崎|1,570|19,717|8.0%
鹿児島|1,371|48,894|2.8%
沖縄 ※3|6,467|102,189|6.3%
長崎船 ※2 その他|149|0|-
合計|332,231|5,493,316|6.0%
