都道府県名|陽性者数 検査人数||％
北海道|19,023|377,430|5.0%
青森|816|17,347|4.7%
岩手|553|24,786|2.2%
宮城|3,585|67,528|5.3%
秋田|269|7,032|3.8%
山形|542|17,479|3.1%
福島|1,919|110,131|1.7%
茨城|5,710|24,868|23.0%
栃木|4,078|124,210|3.3%
群馬|4,459|91,472|4.9%
埼玉|29,132|545,020|5.3%
千葉|26,112|402,857|6.5%
東京|111,010|1,524,375|7.3%
神奈川|44,607|587,587|7.6%
新潟|1,070|43,685|2.4%
富山|905|36,107|2.5%
石川|1,841|50,551|3.6%
福井|544|31,739|1.7%
山梨|939|25,903|3.6%
長野|2,363|97,594|2.4%
岐阜|4,711|132,933|3.5%
静岡|5,100|187,116|2.7%
愛知|25,737|389,359|6.6%
三重|2,509|63,656|3.9%
都道府県名|陽性者数 検査人数||％
滋賀|2,444|72,561|3.4%
京都|9,046|154,708|5.8%
大阪|47,000|777,922|6.0%
兵庫|17,898|245,283|7.3%
奈良|3,353|81,493|4.1%
和歌山|1,161|24,414|4.8%
鳥取|210|40,441|0.5%
島根|284|15,625|1.8%
岡山|2,478|66,389|3.7%
広島|5,019|151,415|3.3%
山口|1,377|58,758|2.3%
徳島|450|26,160|1.7%
香川|750|44,326|1.7%
愛媛|1,061|32,480|3.3%
高知|884|7,091|12.5%
福岡|17,955|438,701|4.1%
佐賀|1,052|27,821|3.8%
長崎|1,609|66,997|2.4%
熊本|3,439|56,710|6.1%
大分|1,289|79,034|1.6%
宮崎|1,951|24,715|7.9%
鹿児島|1,758|67,228|2.6%
沖縄|8,159|144,617|5.6%
長崎船 その他|149|0|-
合計|428,310|7,685,654|5.6%
