都道府県名|陽性者数 検査人数※3||％
北海道|5,055|103,685|4.9%
青森 ※3|278|6,145|4.5%
※3※4※5 岩手|64|6,072|1.1%
宮城 ※3※5|973|16,120|6.0%
秋田|71|2,695|2.6%
山形|96|6,994|1.4%
福島 ※3|431|34,974|1.2%
茨城|946|14,703|6.4%
栃木 ※3※5|513|47,989|1.1%
群馬 ※3※5|951|32,830|2.9%
埼玉 ※4|6,741|206,725|3.3%
千葉|5,721|142,896|4.0%
東京 ※1|34,496|664,117|5.2%
神奈川|10,042|220,848|4.5%
新潟 ※3※5|224|19,616|1.1%
富山 ※3※5|425|15,642|2.7%
石川 ※3|828|19,693|4.2%
福井 ※3|272|12,229|2.2%
山梨 ※3|275|12,472|2.2%
長野 ※3※5|448|25,663|1.7%
岐阜 ※5|800|29,255|2.7%
静岡 ※3※4|822|48,055|1.7%
※3※4※5 愛知|7,447|113,664|6.6%
三重 ※3|616|17,127|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|655|14,966|4.4%
京都|2,222|55,975|4.0%
大阪 ※3※5|15,155|269,000|5.6%
※3※4※5 兵庫|3,816|76,513|5.0%
奈良 ※5|835|27,245|3.1%
和歌山|318|11,045|2.9%
鳥取 ※3|52|6,090|0.9%
島根 ※5|141|6,354|2.2%
岡山 ※4|379|14,762|2.6%
広島 ※3|688|29,759|2.3%
山口 ※4|258|12,510|2.1%
徳島 ※3|171|7,654|2.2%
香川 ※5|114|14,893|0.8%
愛媛|123|4,583|2.7%
高知|144|3,688|3.9%
※3※4※5 福岡|5,367|179,430|3.0%
佐賀 ※3|278|8,030|3.5%
長崎|249|24,525|1.0%
熊本|903|21,470|4.2%
大分|164|23,066|0.7%
宮崎|373|8,829|4.2%
鹿児島|542|24,653|2.2%
沖縄 ※3|3,696|65,248|5.7%
長崎船 ※2 その他|149|0|-
合計|115,327|2,730,497|4.2%
