都道府県名|陽性者数 検査人数※3||％
北海道|8,526|147,128|5.8%
青森 ※3|287|6,569|4.4%
※3※4※5 岩手|191|9,286|2.1%
宮城 ※3※5|1,195|18,794|6.4%
秋田|90|3,500|2.6%
山形|133|7,460|1.8%
福島 ※3|499|39,593|1.3%
茨城|1,539|16,407|9.4%
栃木 ※3※5|634|53,517|1.2%
群馬 ※3※5|1,195|35,486|3.4%
埼玉 ※4|8,361|231,105|3.6%
千葉|6,939|161,979|4.3%
東京 ※1|40,628|750,084|5.4%
神奈川|12,478|249,352|5.0%
新潟 ※3※5|331|22,161|1.5%
富山 ※3※5|458|16,966|2.7%
石川 ※3|850|21,885|3.9%
福井 ※3|314|14,643|2.1%
山梨 ※3|336|13,459|2.5%
⾧野 ※3※5|703|30,587|2.3%
岐阜 ※5|1,055|33,458|3.2%
静岡 ※3※4|1,447|55,546|2.6%
※3※4※5 愛知|9,849|135,512|7.3%
三重 ※3|844|19,848|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|780|27,443|2.8%
京都|2,585|64,192|4.0%
大阪 ※3※5|20,011|320,480|6.2%
※3※4※5 兵庫|5,459|94,560|5.8%
奈良 ※5|1,122|31,912|3.5%
和歌山|446|13,400|3.3%
鳥取 ※3※4|58|16,350|0.4%
島根 ※5|146|6,772|2.2%
岡山 ※4|592|19,205|3.1%
広島 ※3|785|34,211|2.3%
山口 ※4|384|17,013|2.3%
徳島 ※3|181|7,822|2.3%
香川 ※5|142|16,864|0.8%
愛媛|311|6,961|4.5%
高知|150|3,754|4.0%
※3※4※5 福岡|5,801|199,804|2.9%
佐賀 ※3|307|9,621|3.2%
⾧崎|265|26,884|1.0%
熊本|1,012|23,912|4.2%
大分|280|27,223|1.0%
宮崎|477|9,431|5.1%
鹿児島|612|27,152|2.3%
沖縄 ※3|4,294|72,251|5.9%
⾧崎船 ※2 その他|149|0|-
合計|145,231|3,171,542|4.6%
