都道府県名|陽性者数 検査人数※3||％
北海道|2,410|66,373|3.6%
青森 ※3|41|2,720|1.5%
※3※4※5 岩手|25|4,715|0.5%
宮城 ※3※5|499|11,735|4.3%
秋田|59|2,349|2.5%
山形|81|5,319|1.5%
福島 ※3|324|23,712|1.4%
茨城|715|13,091|5.5%
栃木 ※3※5|452|33,701|1.3%
群馬 ※3※5|763|25,758|3.0%
埼玉 ※4|5,177|160,093|3.2%
千葉|4,377|107,131|4.1%
東京 ※1|28,136|520,982|5.4%
神奈川|7,679|174,913|4.4%
新潟 ※3※5|179|16,561|1.1%
富山 ※3※5|422|13,702|3.1%
石川 ※3|786|14,881|5.3%
福井 ※3|249|10,299|2.4%
山梨 ※3|199|11,097|1.8%
長野 ※3※5|320|20,539|1.6%
岐阜 ※5|638|24,608|2.6%
静岡 ※3※4|568|38,416|1.5%
※3※4※5 愛知|5,581|86,751|6.4%
三重 ※3|542|14,421|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|519|13,160|3.9%
京都|1,892|47,233|4.0%
大阪 ※3※5|11,310|206,198|5.5%
※3※4※5 兵庫|2,927|61,917|4.7%
奈良 ※5|605|22,780|2.7%
和歌山|252|9,838|2.6%
鳥取 ※3|36|5,541|0.6%
島根 ※5|140|5,962|2.3%
岡山 ※4|168|8,654|1.9%
広島 ※3|642|24,784|2.6%
山口 ※4|209|10,742|1.9%
徳島 ※3|149|7,122|2.1%
香川 ※5|96|11,948|0.8%
愛媛|115|4,204|2.7%
高知|139|3,554|3.9%
※3※4※5 福岡|5,112|147,207|3.5%
佐賀 ※3|249|6,335|3.9%
長崎|241|20,360|1.2%
熊本|720|18,020|4.0%
大分|158|18,654|0.8%
宮崎|344|8,692|4.0%
鹿児島|456|21,051|2.2%
沖縄 ※3|2,787|45,430|6.1%
長崎船 ※2 その他|149|0|-
合計|89,637|2,133,253|4.2%
