都道府県名|陽性者数 検査人数※3||％
北海道|16,199|287,756|5.6%
青森 ※3|660|12,233|5.4%
※3※4※5 岩手|483|18,332|2.6%
宮城 ※3※5|3,066|44,586|6.9%
秋田|227|5,939|3.8%
山形|453|12,321|3.7%
福島 ※3|1,518|73,830|2.1%
茨城|4,026|21,534|18.7%
栃木 ※3※5|3,384|92,974|3.6%
群馬 ※3※5|3,427|66,688|5.1%
埼玉 ※4|21,945|401,016|5.5%
千葉|18,565|274,850|6.8%
東京 ※1|89,188|1,206,896|7.4%
神奈川|35,595|441,582|8.1%
新潟 ※3※5|788|33,866|2.3%
富山 ※3※5|815|28,308|2.9%
石川 ※3|1,373|37,006|3.7%
福井 ※3|462|24,345|1.9%
山梨 ※3|864|14,741|5.9%
長野 ※3※5|2,077|67,978|3.1%
岐阜 ※5|3,618|87,953|4.1%
静岡 ※3※4|4,029|125,160|3.2%
※3※4※5 愛知|21,666|273,561|7.9%
三重 ※3|1,848|35,367|5.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,840|49,527|3.7%
京都|7,130|116,099|6.1%
大阪 ※3※5|39,557|581,574|6.8%
※3※4※5 兵庫|14,170|176,805|8.0%
奈良 ※5|2,716|61,204|4.4%
和歌山|928|19,668|4.7%
鳥取 ※3※4|184|30,737|0.6%
島根 ※5|239|10,827|2.2%
岡山 ※4|2,154|43,188|5.0%
広島 ※3|4,448|107,047|4.2%
山口 ※4|986|35,818|2.8%
徳島 ※3|311|18,561|1.7%
香川 ※5|556|33,443|1.7%
愛媛|866|19,544|4.4%
高知|807|6,576|12.3%
※3※4※5 福岡|13,823|328,350|4.2%
佐賀 ※3|832|20,064|4.1%
長崎|1,302|50,819|2.6%
熊本|3,076|48,014|6.4%
大分|955|56,032|1.7%
宮崎|1,650|20,385|8.1%
鹿児島|1,460|50,329|2.9%
沖縄 ※3|6,691|110,000|6.1%
長崎船 ※2 その他|149|0|-
合計|343,106|5,683,433|6.0%
