都道府県名|陽性者数 検査人数※3||％
北海道|4,021|92,885|4.3%
青森 ※3|274|5,924|4.6%
※3※4※5 岩手|30|5,719|0.5%
宮城 ※3※5|865|15,288|5.7%
秋田|67|2,659|2.5%
山形|88|6,810|1.3%
福島 ※3|418|32,623|1.3%
茨城|825|14,334|5.8%
栃木 ※3※5|499|45,819|1.1%
群馬 ※3※5|927|30,692|3.0%
埼玉 ※4|6,296|196,518|3.2%
千葉|5,386|136,592|3.9%
東京 ※1|32,767|635,524|5.2%
神奈川|9,375|213,692|4.4%
新潟 ※3※5|198|18,433|1.1%
富山 ※3※5|424|15,138|2.8%
石川 ※3|823|18,574|4.4%
福井 ※3|262|11,268|2.3%
山梨 ※3|241|12,077|2.0%
⾧野 ※3※5|384|24,461|1.6%
岐阜 ※5|742|27,985|2.7%
静岡 ※3※4|756|45,801|1.7%
※3※4※5 愛知|6,812|106,996|6.4%
三重 ※3|597|16,342|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|620|14,897|4.2%
京都|2,166|55,036|3.9%
大阪 ※3※5|13,894|253,794|5.5%
※3※4※5 兵庫|3,518|73,008|4.8%
奈良 ※5|745|26,032|2.9%
和歌山|289|10,716|2.7%
鳥取 ※3|50|5,944|0.8%
島根 ※5|141|6,281|2.2%
岡山 ※4|340|11,198|3.0%
広島 ※3|678|28,891|2.3%
山口 ※4|225|11,960|1.9%
徳島 ※3|168|7,592|2.2%
香川 ※5|107|14,223|0.8%
愛媛|117|4,456|2.6%
高知|144|3,680|3.9%
※3※4※5 福岡|5,284|172,436|3.1%
佐賀 ※3|274|7,708|3.6%
⾧崎|249|23,623|1.1%
熊本|854|20,847|4.1%
大分|161|21,941|0.7%
宮崎|373|8,822|4.2%
鹿児島|537|23,874|2.2%
沖縄 ※3|3,536|61,923|5.7%
⾧崎船 ※2 その他|149|0|-
合計|107,696|2,601,036|4.1%
