都道府県名|陽性者数 検査人数※3||％
北海道|6,918|125,579|5.5%
青森 ※3|280|6,349|4.4%
※3※4※5 岩手|137|7,787|1.8%
宮城 ※3※5|1,091|17,468|6.2%
秋田|74|3,155|2.3%
山形|109|7,233|1.5%
福島 ※3|476|37,642|1.3%
茨城|1,252|15,503|8.1%
栃木 ※3※5|572|51,105|1.1%
群馬 ※3※5|1,045|34,203|3.1%
埼玉 ※4|7,614|217,782|3.5%
千葉|6,388|155,169|4.1%
東京 ※1|37,708|707,444|5.3%
神奈川|11,344|234,414|4.8%
新潟 ※3※5|300|20,993|1.4%
富山 ※3※5|445|16,124|2.8%
石川 ※3|835|20,694|4.0%
福井 ※3|302|13,555|2.2%
山梨 ※3|298|12,801|2.3%
長野 ※3※5|606|27,741|2.2%
岐阜 ※5|918|31,414|2.9%
静岡 ※3※4|1,111|51,416|2.2%
※3※4※5 愛知|8,675|124,749|7.0%
三重 ※3|721|18,271|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|735|25,071|2.9%
京都|2,409|60,062|4.0%
大阪 ※3※5|17,649|294,716|6.0%
※3※4※5 兵庫|4,638|84,801|5.5%
奈良 ※5|989|29,663|3.3%
和歌山|384|12,288|3.1%
※3※4※6 鳥取|53|15,395|0.3%
島根 ※5|142|6,498|2.2%
岡山 ※4|498|17,220|2.9%
広島 ※3|741|31,670|2.3%
山口 ※4|352|13,795|2.6%
徳島 ※3|179|7,742|2.3%
香川 ※5|131|15,828|0.8%
愛媛|208|5,350|3.9%
高知|146|3,718|3.9%
※3※4※5 福岡|5,543|189,891|2.9%
佐賀 ※3|293|8,850|3.3%
長崎|254|25,747|1.0%
熊本|967|22,960|4.2%
大分|219|25,001|0.9%
宮崎|428|8,918|4.8%
鹿児島|592|25,683|2.3%
沖縄 ※3|3,999|67,432|5.9%
長崎船 ※2 その他|149|0|-
合計|130,917|2,956,890|4.4%
