都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|41,596|793,618|603|17|39,685|1,411
青森|2,531|51,918|52|0|2,448|31
岩手|1,746|87,769|84|1|1,615|47
宮城|9,222|159,859|103|2|9,016|90
秋田|918|16,058|56|1|842|20
山形|2,030|67,124|14|1|1,969|47
福島|5,012|287,016|163|4|4,688|161
茨城|10,704|33,776|234|6|10,304|166
栃木|7,173|309,466|218|8|6,873|82
群馬|8,060|197,785|37|3|7,869|154
埼玉|47,314|988,591|1,337|21|45,144|833
千葉|41,278|706,788|1,172|16|39,393|713
東京|178,356|2,577,996|5,360|62|170,752|2,244
神奈川|68,940|1,063,609|1,862|31|66,122|956
新潟|3,448|175,819|62|0|3,334|52
富山|2,051|75,161|19|1|1,994|38
石川|3,981|124,978|54|1|3,808|115
福井|1,341|70,963|110|1|1,196|35
山梨|2,135|58,651|54|0|2,060|21
長野|5,049|211,143|38|0|4,994|93
岐阜|9,476|275,656|52|3|9,237|187
静岡|9,468|414,845|259|5|9,057|152
愛知|51,295|848,367|578|12|49,741|976
三重|5,296|145,510|65|3|5,258|112
滋賀|5,588|156,249|61|3|5,437|90
京都|16,709|288,597|137|5|16,302|246
大阪|104,214|2,204,082|1,352|146|99,390|2,687
兵庫|41,077|516,250|258|16|39,511|1,309
奈良|8,401|172,997|132|8|8,137|132
和歌山|2,697|42,299|18|3|2,572|49
鳥取|494|85,283|27|0|457|2
島根|555|31,436|2|0|551|2
岡山|7,603|165,308|25|4|7,439|126
広島|11,545|561,085|87|8|11,270|176
山口|3,163|124,469|45|1|3,038|80
徳島|1,658|65,977|4|0|1,591|63
香川|2,104|87,464|13|2|2,065|31
愛媛|2,755|97,176|4|2|2,676|75
高知|1,868|11,684|67|6|1,774|27
福岡|35,740|847,236|345|13|34,829|523
佐賀|2,569|58,164|18|0|2,563|24
長崎|3,219|127,564|59|0|3,092|69
熊本|6,494|82,372|32|1|6,343|119
大分|3,496|172,256|13|0|3,419|64
宮崎|3,104|44,704|21|0|3,046|27
鹿児島|3,712|112,623|53|1|3,653|39
沖縄|21,165|256,385|768|46|20,207|196
（その他）|149|-|0|-|149|-
合計|808,499|16,054,126|16,127|464|776,910|14,892
