都道府県名|陽性者数 検査人数※3||％
北海道|3,205|83,712|3.8%
青森 ※3|244|5,157|4.7%
※3※4※5 岩手|27|5,339|0.5%
宮城 ※3※5|742|14,294|5.2%
秋田|64|2,503|2.6%
山形|86|6,231|1.4%
福島 ※3|389|29,518|1.3%
茨城|773|13,982|5.5%
栃木 ※3※5|490|42,416|1.2%
群馬 ※3※5|902|29,473|3.1%
埼玉 ※4|5,915|187,511|3.2%
千葉|5,079|128,000|4.0%
東京 ※1|31,293|604,642|5.2%
神奈川|8,799|203,062|4.3%
新潟 ※3※5|184|17,915|1.0%
富山 ※3※5|423|14,541|2.9%
石川 ※3|812|17,426|4.7%
福井 ※3|257|11,100|2.3%
山梨 ※3|216|11,769|1.8%
⾧野 ※3※5|344|23,290|1.5%
岐阜 ※5|693|26,990|2.6%
静岡 ※3※4|661|43,590|1.5%
※3※4※5 愛知|6,275|100,228|6.3%
三重 ※3|568|15,683|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|557|14,505|3.8%
京都|2,061|52,973|3.9%
大阪 ※3※5|12,876|237,923|5.4%
※3※4※5 兵庫|3,265|69,217|4.7%
奈良 ※5|664|24,985|2.7%
和歌山|277|10,448|2.7%
鳥取 ※3|38|5,775|0.7%
島根 ※5|141|6,281|2.2%
岡山 ※4|291|11,198|2.6%
広島 ※3|662|27,820|2.4%
山口 ※4|213|11,931|1.8%
徳島 ※3|164|7,495|2.2%
香川 ※5|101|13,601|0.7%
愛媛|116|4,392|2.6%
高知|144|3,650|3.9%
※3※4※5 福岡|5,236|165,588|3.2%
佐賀 ※3|256|7,117|3.6%
⾧崎|244|22,786|1.1%
熊本|808|19,632|4.1%
大分|159|20,997|0.8%
宮崎|367|8,799|4.2%
鹿児島|475|22,533|2.1%
沖縄 ※3|3,373|58,991|5.7%
⾧崎船 ※2 その他|149|0|-
合計|101,078|2,467,009|4.1%
