都道府県名|陽性者数 検査人数※3||％
北海道|16,329|291,357|5.6%
青森 ※3|666|12,316|5.4%
※3※4※5 岩手|484|18,505|2.6%
宮城 ※3※5|3,118|45,021|6.9%
秋田|229|5,939|3.9%
山形|455|12,635|3.6%
福島 ※3|1,534|75,119|2.0%
茨城|4,109|21,719|18.9%
栃木 ※3※5|3,433|94,672|3.6%
群馬 ※3※5|3,492|67,507|5.2%
埼玉 ※4|22,377|406,570|5.5%
千葉|19,045|278,979|6.8%
東京 ※1|90,659|1,219,217|7.4%
神奈川|36,326|449,714|8.1%
新潟 ※3※5|808|34,092|2.4%
富山 ※3※5|825|28,417|2.9%
石川 ※3|1,393|37,401|3.7%
福井 ※3|467|24,647|1.9%
山梨 ※3|869|14,741|5.9%
長野 ※3※5|2,102|69,017|3.0%
岐阜 ※5|3,819|93,535|4.1%
静岡 ※3※4|4,092|126,883|3.2%
※3※4※5 愛知|21,911|277,893|7.9%
三重 ※3|1,882|35,367|5.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,868|50,350|3.7%
京都|7,253|117,341|6.2%
大阪 ※3※5|40,058|589,145|6.8%
※3※4※5 兵庫|14,466|179,493|8.1%
奈良 ※5|2,757|62,725|4.4%
和歌山|948|19,864|4.8%
鳥取 ※3※4|186|31,277|0.6%
島根 ※5|242|11,764|2.1%
岡山 ※4|2,183|43,188|5.1%
広島 ※3|4,505|107,047|4.2%
山口 ※4|996|40,022|2.5%
徳島 ※3|337|18,851|1.8%
香川 ※5|568|33,843|1.7%
愛媛|891|19,897|4.5%
高知|813|6,655|12.2%
※3※4※5 福岡|14,100|334,151|4.2%
佐賀 ※3|858|20,537|4.2%
長崎|1,334|51,536|2.6%
熊本|3,076|48,014|6.4%
大分|988|56,749|1.7%
宮崎|1,678|20,633|8.1%
鹿児島|1,460|51,028|2.9%
沖縄 ※3|6,759|113,829|5.9%
長崎船 ※2 その他|149|0|-
合計|348,897|5,769,202|6.0%
