都道府県名|陽性者数 検査人数※3||％
北海道|7,766|135,619|5.7%
青森 ※3|285|6,480|4.4%
※3※4※5 岩手|162|8,650|1.9%
宮城 ※3※5|1,147|18,374|6.2%
秋田|84|3,476|2.4%
山形|111|7,374|1.5%
福島 ※3|486|38,699|1.3%
茨城|1,397|16,254|8.6%
栃木 ※3※5|599|52,797|1.1%
群馬 ※3※5|1,117|35,056|3.2%
埼玉 ※4|8,002|228,115|3.5%
千葉|6,644|159,758|4.2%
東京 ※1|39,079|736,409|5.3%
神奈川|11,894|246,225|4.8%
新潟 ※3※5|325|21,833|1.5%
富山 ※3※5|450|16,763|2.7%
石川 ※3|843|21,257|4.0%
福井 ※3|309|14,286|2.2%
山梨 ※3|336|13,394|2.5%
⾧野 ※3※5|654|29,788|2.2%
岐阜 ※5|985|32,518|3.0%
静岡 ※3※4|1,395|54,881|2.5%
※3※4※5 愛知|9,200|133,582|6.9%
三重 ※3|782|18,271|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|760|26,704|2.8%
京都|2,552|63,452|4.0%
大阪 ※3※5|18,784|309,194|6.1%
※3※4※5 兵庫|5,028|89,727|5.6%
奈良 ※5|1,061|31,572|3.4%
和歌山|414|12,863|3.2%
鳥取 ※3※4|58|16,126|0.4%
島根 ※5|144|6,772|2.1%
岡山 ※4|544|17,220|3.2%
広島 ※3|771|33,800|2.3%
山口 ※4|367|17,013|2.2%
徳島 ※3|180|7,770|2.3%
香川 ※5|134|16,352|0.8%
愛媛|282|6,025|4.7%
高知|149|3,747|4.0%
※3※4※5 福岡|5,591|194,792|2.9%
佐賀 ※3|300|9,342|3.2%
⾧崎|265|26,332|1.0%
熊本|984|23,229|4.2%
大分|246|26,211|0.9%
宮崎|458|9,305|4.9%
鹿児島|607|27,018|2.2%
沖縄 ※3|4,131|69,484|5.9%
⾧崎船 ※2 その他|149|0|-
合計|138,011|3,093,909|4.5%
