都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|60,068|1,084,269|714|13|57,961|1,466
青森|5,603|84,194|323|6|5,245|35
岩手|3,475|117,969|40|0|3,383|52
宮城|16,135|234,283|304|4|15,697|116
秋田|1,853|25,593|42|1|1,785|26
山形|3,493|93,734|63|0|3,374|56
福島|9,416|397,786|123|3|9,119|174
茨城|23,974|39,484|528|17|23,233|213
栃木|15,113|473,426|367|9|14,633|113
群馬|16,503|284,438|265|15|16,068|170
埼玉|114,119|1,416,178|2,869|67|110,257|993
千葉|98,988|1,036,950|1,796|47|96,206|986
東京|374,230|3,556,769|5,298|131|366,071|2,861
神奈川|166,888|1,542,744|2,368|110|163,279|1,241
新潟|7,745|273,168|295|3|7,392|58
富山|4,774|110,333|74|6|4,651|49
石川|7,800|185,789|139|3|7,516|123
福井|3,007|112,347|109|0|2,862|36
山梨|5,034|108,734|102|0|4,903|29
長野|8,677|303,798|171|1|8,464|95
岐阜|18,558|393,677|459|8|18,059|210
静岡|26,468|595,610|523|9|25,741|204
愛知|104,431|1,252,640|4,854|53|98,455|1,122
三重|14,550|258,291|430|8|14,280|159
滋賀|12,151|246,364|278|4|11,774|99
京都|35,246|409,905|1,513|31|33,419|263
大阪|198,083|3,323,942|5,952|401|187,298|2,946
兵庫|76,578|722,650|1,923|44|73,272|1,383
奈良|15,567|241,214|392|9|15,028|147
和歌山|5,212|63,607|86|9|4,964|59
鳥取|1,635|141,917|31|0|1,576|5
島根|1,581|51,491|56|0|1,522|3
岡山|15,051|253,818|254|5|14,612|135
広島|21,433|866,437|466|9|20,771|196
山口|5,553|179,174|110|0|5,354|89
徳島|3,229|100,472|78|2|3,087|64
香川|4,671|125,146|80|3|4,554|36
愛媛|5,106|145,525|135|4|4,890|81
高知|4,084|93,257|66|1|3,987|31
福岡|73,648|1,212,828|3,447|27|69,532|606
佐賀|5,709|98,506|66|1|5,655|29
長崎|5,949|173,591|104|1|5,774|71
熊本|14,202|120,297|296|6|13,772|134
大分|8,020|253,011|161|2|7,778|81
宮崎|6,103|71,971|101|5|5,940|40
鹿児島|9,037|165,032|123|3|8,910|64
沖縄|49,314|383,167|1,410|52|47,476|297
（その他）|149|-|0|-|149|-
合計|1,688,213|23,425,526|39,384|1,133|1,629,728|17,446
