都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|372,381|2,324,309|8,941|1|361,735|2,081
青森|59,212|256,377|1,293|0|57,812|107
岩手|36,816|290,327|1,321|0|35,399|96
宮城|90,808|607,430|1,967|0|88,297|198
秋田|31,522|63,310|916|0|30,536|70
山形|29,533|198,192|645|0|28,793|95
福島|65,203|852,290|1,020|0|63,960|223
茨城|161,906|1,380,150|1,181|1|160,284|441
栃木|92,670|763,063|1,151|1|91,245|274
群馬|96,533|663,285|1,216|0|94,996|321
埼玉|559,480|2,900,141|4,801|2|553,036|1,643
千葉|456,310|2,161,502|3,039|1|450,981|1,786
東京|1,566,623|7,048,735|17,535|1|1,544,542|4,546
神奈川|766,238|3,013,105|5,637|6|758,383|2,218
新潟|74,015|673,125|916|0|73,008|91
富山|38,709|256,497|1,182|0|37,433|94
石川|58,282|482,388|1,281|0|56,781|197
福井|37,309|335,808|877|0|36,387|45
山梨|33,683|346,457|495|0|33,123|68
長野|75,971|751,855|1,079|0|74,622|203
岐阜|105,996|918,558|2,343|0|103,092|343
静岡|175,382|1,285,996|2,655|1|172,106|420
愛知|554,830|2,837,334|8,475|4|544,270|2,085
三重|84,712|538,285|1,198|1|85,215|306
滋賀|93,093|660,498|1,452|0|91,420|221
京都|207,809|852,677|2,733|2|203,938|730
大阪|993,882|7,281,336|13,090|8|975,693|5,099
兵庫|434,051|1,600,275|5,287|1|426,524|2,240
奈良|94,539|530,244|1,233|0|92,917|389
和歌山|43,285|176,592|454|0|42,503|118
鳥取|15,693|412,986|317|0|15,155|20
島根|17,470|221,138|259|0|17,195|16
岡山|102,011|597,565|2,154|1|97,944|250
広島|163,554|1,941,289|4,501|0|158,560|493
山口|47,175|596,201|1,257|0|45,740|178
徳島|23,370|221,592|638|0|22,649|85
香川|49,764|284,555|745|0|48,891|128
愛媛|41,974|373,382|1,304|1|40,530|140
高知|29,061|304,291|982|0|27,966|113
福岡|437,187|2,756,424|6,341|0|423,481|1,265
佐賀|54,249|286,752|985|0|50,628|106
長崎|62,317|410,170|2,242|0|59,955|124
熊本|103,597|289,726|2,713|3|100,585|299
大分|56,279|606,525|934|0|55,181|164
宮崎|55,913|193,389|1,444|1|54,253|144
鹿児島|88,436|430,644|2,823|1|85,070|206
沖縄|233,968|890,316|10,755|7|222,651|476
その他（その他）|149|0|0|0|149|0
合計|9,072,950|52,867,086|135,807|44|8,895,614|30,955
