都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|61,076|1,204,617|178|2|59,430|1,472
青森|5,897|98,911|0|0|5,859|38
岩手|3,487|130,000|0|0|3,434|53
宮城|16,278|255,299|1|0|16,157|118
秋田|1,925|27,377|0|0|1,898|27
山形|3,554|108,187|3|0|3,495|56
福島|9,487|444,178|2|1|9,309|176
茨城|24,447|40,552|15|0|24,212|220
栃木|15,479|508,881|15|0|15,347|117
群馬|16,847|326,720|24|1|16,647|176
埼玉|115,791|1,567,814|85|8|114,650|1,056
千葉|100,447|1,169,512|42|0|99,375|1,028
東京|382,112|3,949,570|170|8|378,778|3,164
神奈川|169,208|1,732,866|125|5|167,771|1,312
新潟|8,017|306,055|13|0|7,943|61
富山|4,867|124,875|0|0|4,815|52
石川|7,968|205,937|0|0|7,817|129
福井|3,115|123,413|0|0|3,077|38
山梨|5,155|126,115|0|0|5,126|29
長野|8,883|346,750|1|0|8,841|97
岐阜|19,242|447,373|10|0|19,012|218
静岡|26,784|680,641|9|0|26,564|209
愛知|106,541|1,429,215|58|2|105,324|1,159
三重|14,812|255,278|4|0|14,971|163
滋賀|12,432|281,150|13|0|12,315|104
京都|35,980|451,341|36|0|35,651|291
大阪|203,045|3,936,593|192|20|199,791|3,062
兵庫|78,652|815,058|62|4|77,194|1,396
奈良|15,928|269,527|7|0|15,772|149
和歌山|5,300|67,301|1|0|5,132|62
鳥取|1,669|160,069|0|0|1,639|5
島根|1,731|60,830|1|0|1,725|5
岡山|15,514|294,005|83|3|15,262|136
広島|22,152|953,127|12|0|21,938|202
山口|5,788|202,677|4|0|5,691|93
徳島|3,291|111,716|1|0|3,224|66
香川|4,705|138,858|0|0|4,666|38
愛媛|5,410|165,561|2|0|5,326|82
高知|4,167|105,447|0|0|4,134|33
福岡|74,580|1,355,648|72|4|73,874|623
佐賀|5,866|113,966|2|0|5,889|30
長崎|6,119|194,173|1|0|6,045|73
熊本|14,395|124,612|0|0|14,259|136
大分|8,186|289,000|0|0|8,102|84
宮崎|6,151|73,041|0|0|6,094|41
鹿児島|9,103|173,657|1|0|9,036|66
沖縄|50,302|419,727|12|0|49,898|398
その他（その他）|149|0|0|0|149|0
合計|1,722,034|26,367,220|1,257|58|1,702,658|18,343
