都道府県名|陽性者数 検査人数※3||％
北海道|17,521|321,207|5.5%
青森 ※3|717|13,318|5.4%
※3※4※5 岩手|496|20,053|2.5%
宮城 ※3※5|3,410|48,460|7.0%
秋田|261|6,716|3.9%
山形|506|14,452|3.5%
福島 ※3|1,735|85,948|2.0%
茨城|4,846|23,418|20.7%
栃木 ※3※5|3,774|106,641|3.5%
群馬 ※3※5|3,892|75,278|5.2%
埼玉 ※4|25,347|454,412|5.6%
千葉|22,508|329,992|6.8%
東京 ※1|100,234|1,323,836|7.6%
神奈川|40,985|499,192|8.2%
新潟 ※3※5|911|36,997|2.5%
富山 ※3※5|872|30,902|2.8%
石川 ※3|1,466|40,672|3.6%
福井 ※3|517|26,970|1.9%
山梨 ※3|901|14,741|6.1%
長野 ※3※5|2,290|83,352|2.7%
岐阜 ※5|4,233|104,581|4.0%
静岡 ※3※4|4,608|146,187|3.2%
※3※4※5 愛知|24,022|317,686|7.6%
三重 ※3|2,203|46,585|4.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,132|56,576|3.8%
京都|8,447|131,645|6.4%
大阪 ※3※5|43,900|655,142|6.7%
※3※4※5 兵庫|16,468|203,414|8.1%
奈良 ※5|3,067|68,581|4.5%
和歌山|1,065|21,613|4.9%
鳥取 ※3※4|199|33,955|0.6%
島根 ※5|269|12,166|2.2%
岡山 ※4|2,345|51,686|4.5%
広島 ※3|4,815|120,841|4.0%
山口 ※4|1,240|45,815|2.7%
徳島 ※3|386|21,920|1.8%
香川 ※5|657|37,611|1.7%
愛媛|995|25,577|3.9%
高知|851|6,912|12.3%
※3※4※5 福岡|16,176|371,118|4.4%
佐賀 ※3|953|23,950|4.0%
長崎|1,526|57,116|2.7%
熊本|3,343|51,533|6.5%
大分|1,166|63,381|1.8%
宮崎|1,836|23,136|7.9%
鹿児島|1,632|56,203|2.9%
沖縄 ※3|7,585|126,082|6.0%
長崎船 ※2 その他|149|0|-
合計|389,457|6,437,569|6.0%
