都道府県名|陽性者数 検査人数※3||％
北海道|13,857|245,412|5.6%
青森 ※3|523|10,630|4.9%
※3※4※5 岩手|400|14,691|2.7%
宮城 ※3※5|2,268|25,211|9.0%
秋田|157|4,867|3.2%
山形|407|10,445|3.9%
福島 ※3|1,033|59,974|1.7%
茨城|2,659|19,019|14.0%
栃木 ※3※5|1,842|74,750|2.5%
群馬 ※3※5|2,493|55,899|4.5%
埼玉 ※4|15,545|333,411|4.7%
千葉|11,877|234,043|5.1%
東京 ※1|64,752|1,031,765|6.3%
神奈川|23,514|363,054|6.5%
新潟 ※3※5|582|28,879|2.0%
富山 ※3※5|587|22,961|2.6%
石川 ※3|1,139|30,584|3.7%
福井 ※3|362|20,116|1.8%
山梨 ※3|605|14,642|4.1%
長野 ※3※5|1,304|53,218|2.5%
岐阜 ※5|2,592|68,394|3.8%
静岡 ※3※4|2,855|101,620|2.8%
※3※4※5 愛知|17,242|231,862|7.4%
三重 ※3|1,369|30,675|4.5%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,321|39,393|3.4%
京都|5,154|97,288|5.3%
大阪 ※3※5|31,452|482,366|6.5%
※3※4※5 兵庫|10,449|146,101|7.2%
奈良 ※5|2,160|52,055|4.1%
和歌山|678|16,873|4.0%
鳥取 ※3※4|129|25,689|0.5%
島根 ※5|215|9,344|2.3%
岡山 ※4|1,524|31,723|4.8%
広島 ※3|3,587|75,233|4.8%
山口 ※4|632|29,766|2.1%
徳島 ※3|206|15,659|1.3%
香川 ※5|323|25,344|1.3%
愛媛|518|13,869|3.7%
高知|696|6,027|11.5%
※3※4※5 福岡|9,664|274,151|3.5%
佐賀 ※3|510|15,527|3.3%
長崎|757|41,316|1.8%
熊本|1,981|37,649|5.3%
大分|746|45,203|1.7%
宮崎|916|13,756|6.7%
鹿児島|1,072|41,163|2.6%
沖縄 ※3|5,540|92,095|6.0%
長崎船 ※2 その他|149|0|-
合計|250,343|4,713,712|5.3%
