都道府県名|陽性者数 検査人数※3||％
北海道|4,221|94,853|4.5%
青森 ※3|274|6,004|4.6%
※3※4※5 岩手|30|5,725|0.5%
宮城 ※3※5|872|15,374|5.7%
秋田|68|2,667|2.5%
山形|89|6,831|1.3%
福島 ※3|418|33,183|1.3%
茨城|834|14,373|5.8%
栃木 ※3※5|503|46,544|1.1%
群馬 ※3※5|932|30,881|3.0%
埼玉 ※4|6,363|199,115|3.2%
千葉|5,434|137,000|4.0%
東京 ※1|33,060|641,107|5.2%
神奈川|9,474|214,729|4.4%
新潟 ※3※5|200|18,628|1.1%
富山 ※3※5|425|15,366|2.8%
石川 ※3|824|18,907|4.4%
福井 ※3|266|11,730|2.3%
山梨 ※3|243|12,161|2.0%
長野 ※3※5|387|24,812|1.6%
岐阜 ※5|755|28,212|2.7%
静岡 ※3※4|772|46,257|1.7%
※3※4※5 愛知|6,869|109,029|6.3%
三重 ※3|599|16,342|3.7%
都道府県名|陽性者数 検査人数※3||％
※3※5※6 滋賀|625|14,966|4.2%
京都|2,174|55,334|3.9%
大阪 ※3※5|14,120|257,164|5.5%
※3※4※5 兵庫|3,538|73,509|4.8%
奈良 ※5|754|26,411|2.9%
和歌山|291|10,767|2.7%
鳥取 ※3|51|6,013|0.8%
島根 ※5|141|6,281|2.2%
岡山 ※4|341|11,198|3.0%
広島 ※3|678|29,061|2.3%
山口 ※4|231|11,960|1.9%
徳島 ※3|170|7,603|2.2%
香川 ※5|107|14,353|0.7%
愛媛|117|4,468|2.6%
高知|144|3,680|3.9%
※3※4※5 福岡|5,307|173,880|3.1%
佐賀 ※3|274|7,808|3.5%
長崎|249|23,873|1.0%
熊本|860|21,086|4.1%
大分|161|22,162|0.7%
宮崎|373|8,828|4.2%
鹿児島|537|24,022|2.2%
沖縄 ※3|3,561|61,958|5.7%
長崎船 ※2 その他|149|0|-
合計|108,865|2,626,215|4.1%
