都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|190,266|1,722,551|19,822|9|168,559|1,844
青森|25,755|174,697|3,712|0|21,968|75
岩手|13,149|192,965|2,738|1|10,622|64
宮城|46,893|414,827|6,281|10|39,768|157
秋田|11,723|46,052|1,923|0|9,760|40
山形|13,746|160,277|2,247|2|11,424|75
福島|27,975|632,311|3,471|5|24,315|189
茨城|86,750|44,315|9,068|12|77,349|333
栃木|51,285|637,198|6,496|5|44,569|220
群馬|57,925|503,540|5,440|4|52,220|265
埼玉|354,414|2,282,421|30,676|48|322,504|1,234
千葉|302,852|1,686,076|24,369|22|273,172|1,476
東京|1,096,599|5,655,053|137,928|64|954,774|3,897
神奈川|511,171|2,180,686|45,314|82|464,020|1,837
新潟|32,983|481,939|2,946|3|29,957|80
富山|22,201|196,780|5,732|4|16,401|68
石川|28,728|308,575|3,319|4|25,212|178
福井|16,375|236,552|2,321|2|14,014|40
山梨|18,858|207,892|1,751|1|17,065|57
長野|34,601|528,455|4,152|3|30,013|156
岐阜|59,087|679,632|4,836|5|53,340|293
静岡|101,071|994,882|11,501|3|88,429|363
愛知|356,535|2,161,921|34,404|42|320,346|1,785
三重|46,517|381,621|4,652|6|42,918|256
滋賀|56,904|467,714|7,661|3|49,082|161
京都|136,964|678,874|11,817|52|123,342|516
大阪|714,281|5,822,677|73,510|715|636,465|4,236
兵庫|289,616|1,277,363|26,340|30|261,340|1,955
奈良|64,645|418,653|13,229|19|51,110|306
和歌山|24,856|125,119|1,068|4|23,525|106
鳥取|7,578|273,745|870|0|6,604|10
島根|7,385|122,915|956|0|6,421|8
岡山|54,197|437,779|4,589|11|44,862|212
広島|80,234|1,447,855|8,376|6|71,435|423
山口|24,095|440,054|2,911|4|21,036|148
徳島|13,236|164,839|1,735|5|11,429|76
香川|22,527|206,969|3,259|8|19,181|87
愛媛|19,724|266,492|2,480|4|17,122|122
高知|13,915|190,953|1,837|2|11,988|90
福岡|259,641|2,085,701|31,382|15|221,001|1,038
佐賀|26,557|198,211|2,955|1|20,666|68
長崎|28,251|288,563|3,789|3|25,564|111
熊本|55,079|209,143|5,280|9|49,544|255
大分|26,854|444,282|2,417|1|24,326|111
宮崎|20,511|137,751|1,790|0|18,687|100
鹿児島|35,025|278,206|3,134|4|31,417|138
沖縄|107,310|616,823|6,252|19|100,623|430
その他（その他）|149|0|0|0|149|0
合計|5,596,993|39,111,899|592,736|1,252|4,959,638|25,689
