都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|375,907|2,344,346|7,466|2|366,598|2,090
青森|60,160|258,917|1,516|0|58,536|108
岩手|37,315|294,020|1,084|0|36,135|96
宮城|91,868|613,406|2,062|0|89,529|198
秋田|31,748|63,556|680|0|30,998|70
山形|29,803|199,126|636|0|29,071|96
福島|65,791|860,510|1,023|0|64,545|223
茨城|162,998|1,380,150|1,320|1|161,235|443
栃木|93,135|767,571|1,002|0|91,857|276
群馬|97,168|668,271|1,094|0|95,753|321
埼玉|562,449|2,918,222|4,891|1|555,903|1,655
千葉|458,505|2,161,502|3,039|1|450,981|1,788
東京|1,574,417|7,096,426|15,944|0|1,553,912|4,561
神奈川|770,182|3,040,697|6,016|4|761,946|2,220
新潟|74,593|677,607|934|0|73,568|91
富山|39,213|258,488|1,163|0|37,955|95
石川|58,991|491,851|1,264|0|57,507|197
福井|37,965|337,820|922|0|36,998|45
山梨|33,956|353,833|436|0|33,457|68
長野|76,551|756,632|920|0|75,424|203
岐阜|106,849|924,514|1,795|0|104,614|344
静岡|176,437|1,295,190|1,984|0|173,929|420
愛知|558,876|2,860,531|8,043|2|548,743|2,090
三重|85,394|545,809|1,162|1|85,952|306
滋賀|93,806|667,589|1,258|0|92,327|221
京都|209,191|858,283|2,614|0|205,724|735
大阪|998,752|7,341,921|11,528|7|982,121|5,103
兵庫|437,010|1,615,019|4,911|4|429,853|2,246
奈良|95,099|533,686|1,233|2|93,476|390
和歌山|43,572|177,615|442|0|42,802|118
鳥取|15,850|416,233|284|0|15,344|20
島根|17,731|224,574|353|0|17,362|16
岡山|102,943|597,565|1,702|1|99,972|250
広島|165,426|1,968,529|3,297|0|161,635|494
山口|47,777|596,201|1,090|0|46,509|178
徳島|23,762|223,945|645|0|23,033|85
香川|50,080|286,859|612|0|49,340|128
愛媛|42,548|378,830|1,095|2|41,313|140
高知|29,524|310,136|960|0|28,450|114
福岡|440,456|2,777,777|6,150|0|427,182|1,265
佐賀|54,916|289,215|1,209|0|51,156|107
長崎|63,314|416,266|1,992|0|61,200|124
熊本|105,447|292,399|3,136|1|102,011|300
大分|56,774|611,190|787|0|55,823|164
宮崎|56,589|193,918|1,279|1|55,089|145
鹿児島|90,006|434,782|2,672|1|86,952|208
沖縄|239,291|901,716|9,461|3|229,259|482
その他（その他）|149|0|0|0|149|0
合計|9,140,284|53,283,243|125,106|34|8,973,228|31,037
