都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|317,971|2,117,332|21,373|4|293,165|2,012
青森|50,919|231,232|2,422|0|48,397|100
岩手|30,248|258,794|2,772|1|27,390|86
宮城|78,482|540,754|3,209|2|74,460|191
秋田|27,475|59,627|2,457|0|24,954|64
山形|24,974|187,579|1,819|2|23,066|89
福島|56,398|778,347|4,522|0|51,660|216
茨城|149,374|1,240,444|3,175|2|145,775|424
栃木|85,031|726,223|4,061|1|80,704|266
群馬|88,339|614,127|3,345|0|84,685|309
埼玉|526,669|2,718,543|12,044|7|513,122|1,503
千葉|431,979|2,013,565|8,748|6|420,103|1,759
東京|1,476,311|6,604,151|48,404|8|1,423,532|4,375
神奈川|720,600|2,180,686|13,312|18|705,135|2,153
新潟|64,807|612,855|3,750|0|60,966|91
富山|33,615|234,515|1,693|1|31,830|92
石川|47,314|403,675|3,720|7|43,379|192
福井|29,731|304,941|1,462|0|28,224|45
山梨|29,975|297,841|969|0|28,942|68
長野|66,043|682,748|2,833|0|62,854|186
岐阜|90,569|831,165|3,738|1|85,893|324
静岡|153,400|1,182,528|6,158|0|146,151|404
愛知|499,421|2,577,073|17,946|7|479,442|2,033
三重|75,040|487,499|3,130|1|73,415|285
滋賀|84,037|595,662|2,476|0|81,344|217
京都|188,546|792,589|7,377|13|179,402|706
大阪|922,812|6,784,631|26,760|21|891,073|4,979
兵庫|396,757|1,494,620|10,191|11|384,356|2,212
奈良|87,401|492,765|4,642|0|82,379|380
和歌山|38,209|162,429|1,525|0|36,364|117
鳥取|13,129|365,903|768|0|12,163|16
島根|15,031|187,665|1,114|0|13,902|15
岡山|86,603|534,328|3,546|1|77,977|243
広島|135,352|1,777,041|8,917|4|125,961|474
山口|38,931|543,637|2,095|1|36,662|174
徳島|19,775|200,070|858|0|18,843|80
香川|42,521|257,616|2,720|0|39,679|122
愛媛|35,598|336,623|1,843|3|33,618|137
高知|23,550|256,889|1,799|1|21,644|107
福岡|390,485|2,538,464|14,284|5|367,456|1,233
佐賀|47,895|258,528|2,534|0|42,550|105
長崎|48,658|349,780|4,298|0|46,837|124
熊本|87,516|265,644|3,678|5|83,552|286
大分|47,578|550,744|2,799|2|44,622|157
宮崎|44,580|182,798|3,740|2|40,777|137
鹿児島|71,344|381,311|4,786|3|65,642|186
沖縄|179,422|775,238|15,002|19|163,961|453
その他（その他）|149|0|0|0|149|0
合計|8,200,564|47,971,219|304,814|159|7,848,157|29,927
