都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|19,472|396,513|559|5|18,176|693
青森|820|17,718|24|0|776|20
岩手|555|27,687|2|0|523|30
宮城|3,768|71,417|176|5|3,567|25
秋田|269|7,096|1|0|262|6
山形|543|27,926|7|0|521|15
福島|2,095|118,958|204|8|1,810|81
茨城|5,990|25,001|332|6|5,542|116
栃木|4,166|131,011|112|1|3,986|68
群馬|4,601|96,668|174|4|4,340|87
埼玉|30,057|569,609|1,381|39|28,050|626
千葉|27,237|424,856|1,335|22|25,422|480
東京|113,455|1,579,922|2,896|52|109,097|1,462
神奈川|45,674|612,720|1,016|28|43,942|716
新潟|1,117|45,994|72|2|1,030|15
富山|908|37,151|10|1|870|28
石川|1,877|53,582|83|5|1,750|62
福井|545|32,615|2|0|518|25
山梨|941|27,101|4|0|920|17
長野|2,374|101,091|18|0|2,346|41
岐阜|4,774|140,319|125|10|4,535|114
静岡|5,255|206,239|204|1|4,953|98
愛知|26,133|403,390|566|29|25,027|540
三重|2,566|67,122|107|5|2,480|57
滋賀|2,559|75,941|153|4|2,359|47
京都|9,079|159,089|154|2|8,781|158
大阪|47,670|833,979|953|77|45,171|1,135
兵庫|18,145|258,819|359|37|17,229|557
奈良|3,404|84,240|71|6|3,285|48
和歌山|1,167|24,758|9|0|1,116|18
鳥取|210|42,242|2|0|203|2
島根|284|16,183|1|0|283|0
岡山|2,523|69,524|44|1|2,419|33
広島|5,044|166,610|34|1|4,907|103
山口|1,386|60,724|32|0|1,313|41
徳島|461|27,513|26|2|420|16
香川|760|46,039|16|0|726|18
愛媛|1,066|34,004|21|1|1,021|24
高知|903|7,176|19|3|866|18
福岡|18,225|457,619|426|17|17,496|303
佐賀|1,090|28,814|57|1|1,043|9
長崎|1,612|69,461|9|0|1,566|37
熊本|3,455|57,082|32|1|3,356|72
大分|1,297|82,536|18|0|1,257|22
宮崎|1,953|24,794|16|1|1,930|21
鹿児島|1,762|68,691|16|1|1,746|27
沖縄|8,324|149,139|276|2|7,933|120
（その他）|149|-|0|-|149|-
合計|437,720|8,066,683|12,154|380|417,018|8,251
