都道府県名|陽性者数 検査人数※3||％
北海道|7,369|130,771|5.6%
青森 ※3|281|6,408|4.4%
※3※4※5 岩手|155|8,148|1.9%
宮城 ※3※5|1,116|18,148|6.1%
秋田|75|3,447|2.2%
山形|109|7,282|1.5%
福島 ※3|479|38,113|1.3%
茨城|1,310|15,503|8.4%
栃木 ※3※5|584|51,535|1.1%
群馬 ※3※5|1,069|34,433|3.1%
埼玉 ※4|7,745|222,779|3.5%
千葉|6,489|157,252|4.1%
東京 ※1|38,197|720,173|5.3%
神奈川|11,480|239,610|4.8%
新潟 ※3※5|316|21,341|1.5%
富山 ※3※5|446|16,271|2.7%
石川 ※3|836|20,734|4.0%
福井 ※3|304|13,667|2.2%
山梨 ※3|327|13,174|2.5%
⾧野 ※3※5|629|28,896|2.2%
岐阜 ※5|939|31,654|3.0%
静岡 ※3※4|1,294|52,936|2.4%
※3※4※5 愛知|8,914|126,390|7.1%
三重 ※3|737|18,271|4.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|747|25,764|2.9%
京都|2,508|61,907|4.1%
大阪 ※3※5|18,140|298,441|6.1%
※3※4※5 兵庫|4,852|86,664|5.6%
奈良 ※5|1,026|30,816|3.3%
和歌山|403|12,562|3.2%
鳥取 ※3※4|54|15,678|0.3%
島根 ※5|142|6,498|2.2%
岡山 ※4|515|17,220|3.0%
広島 ※3|762|32,679|2.3%
山口 ※4|356|13,795|2.6%
徳島 ※3|179|7,753|2.3%
香川 ※5|132|16,011|0.8%
愛媛|251|5,657|4.4%
高知|148|3,736|4.0%
※3※4※5 福岡|5,552|190,922|2.9%
佐賀 ※3|297|8,987|3.3%
⾧崎|262|25,842|1.0%
熊本|974|23,109|4.2%
大分|228|25,092|0.9%
宮崎|439|9,200|4.8%
鹿児島|592|26,482|2.2%
沖縄 ※3|4,031|68,472|5.9%
⾧崎船 ※2 その他|149|0|-
合計|133,939|3,010,223|4.4%
