都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|246,854|1,928,924|19,746|9|225,205|1,954
青森|41,111|206,379|4,908|0|36,112|91
岩手|21,787|228,266|3,317|1|18,390|80
宮城|64,795|482,228|5,795|3|58,214|178
秋田|19,808|53,577|3,270|3|16,489|49
山形|19,668|177,450|1,833|1|17,754|81
福島|42,434|708,200|5,165|3|37,069|200
茨城|128,544|44,951|7,893|3|120,255|396
栃木|70,034|687,620|6,394|2|63,384|256
群馬|76,088|562,967|4,483|0|71,307|298
埼玉|468,975|2,531,118|26,220|14|441,341|1,414
千葉|388,641|1,875,744|21,316|9|363,363|1,687
東京|1,338,408|6,184,146|112,962|27|1,221,207|4,239
神奈川|647,762|2,180,686|29,111|18|616,574|2,077
新潟|50,743|547,998|5,385|1|45,267|91
富山|29,877|218,376|2,269|2|27,520|88
石川|37,835|364,569|2,778|1|34,848|186
福井|23,597|274,806|1,285|1|22,267|45
山梨|25,800|253,702|1,660|1|24,086|64
長野|51,369|610,862|4,631|0|45,323|169
岐阜|75,570|757,263|4,603|1|69,804|320
静岡|132,311|1,066,008|7,725|1|124,244|388
愛知|439,738|2,394,066|22,165|16|415,584|1,989
三重|62,478|439,857|5,158|0|58,627|275
滋賀|74,164|538,104|4,200|0|69,764|200
京都|165,774|741,761|9,291|7|155,070|685
大阪|839,318|6,366,034|40,811|281|793,653|4,826
兵庫|353,808|1,398,250|15,308|13|336,360|2,143
奈良|79,051|461,671|8,811|7|69,886|354
和歌山|31,467|143,957|1,571|0|29,607|111
鳥取|10,194|318,871|670|0|9,385|14
島根|10,944|148,690|1,281|0|9,652|11
岡山|69,228|493,254|3,679|2|61,607|225
広島|108,357|1,571,842|11,714|5|96,190|453
山口|32,864|495,987|2,704|1|29,990|170
徳島|17,288|184,925|826|2|16,389|79
香川|33,246|234,807|2,541|1|30,591|114
愛媛|28,301|305,899|2,614|4|25,554|133
高知|18,733|230,167|1,405|2|17,227|101
福岡|329,879|2,324,013|33,433|9|288,406|1,160
佐賀|36,652|228,439|3,000|0|30,699|92
長崎|36,759|318,605|3,806|0|34,494|117
熊本|71,657|240,815|5,084|5|66,297|276
大分|37,179|501,470|3,401|2|33,632|146
宮崎|31,411|162,408|4,506|1|26,860|120
鹿児島|51,821|327,938|5,478|0|45,443|171
沖縄|136,279|689,584|10,119|9|125,712|441
その他（その他）|149|0|0|0|149|0
合計|7,108,750|43,207,254|486,325|468|6,576,851|28,757
