都道府県名|陽性者数 検査人数※3||％
北海道|2,518|69,832|3.6%
青森 ※3|104|3,071|3.4%
※3※4※5 岩手|26|4,874|0.5%
宮城 ※3※5|524|12,291|4.3%
秋田|59|2,361|2.5%
山形|81|5,338|1.5%
福島 ※3|362|24,897|1.5%
茨城|728|13,174|5.5%
栃木 ※3※5|465|34,469|1.3%
群馬 ※3※5|774|26,336|2.9%
埼玉 ※4|5,371|163,381|3.3%
千葉|4,530|111,109|4.1%
東京 ※1|28,971|535,672|5.4%
神奈川|7,942|178,657|4.4%
新潟 ※3※5|180|16,849|1.1%
富山 ※3※5|423|13,903|3.0%
石川 ※3|795|15,397|5.2%
福井 ※3|256|10,331|2.5%
山梨 ※3|199|11,173|1.8%
長野 ※3※5|326|20,863|1.6%
岐阜 ※5|642|24,987|2.6%
静岡 ※3※4|575|39,100|1.5%
※3※4※5 愛知|5,664|88,963|6.4%
三重 ※3|549|14,646|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|524|13,298|3.9%
京都|1,907|48,126|4.0%
大阪 ※3※5|11,514|212,793|5.4%
※3※4※5 兵庫|2,995|63,557|4.7%
奈良 ※5|613|23,057|2.7%
和歌山|255|9,924|2.6%
鳥取 ※3|36|5,548|0.6%
島根 ※5|140|6,023|2.3%
岡山 ※4|173|8,654|2.0%
広島 ※3|649|25,370|2.6%
山口 ※4|209|10,947|1.9%
徳島 ※3|158|7,188|2.2%
香川 ※5|99|12,432|0.8%
愛媛|116|4,240|2.7%
高知|140|3,586|3.9%
※3※4※5 福岡|5,139|150,735|3.4%
佐賀 ※3|252|6,545|3.9%
長崎|241|20,757|1.2%
熊本|744|18,430|4.0%
大分|159|19,203|0.8%
宮崎|366|8,703|4.2%
鹿児島|463|21,290|2.2%
沖縄 ※3|2,918|47,630|6.1%
長崎船 ※2 その他|149|0|-
合計|92,023|2,189,710|4.2%
