都道府県名|陽性者数 検査人数||％
北海道|18,987|374,875|5.1%
青森|814|17,200|4.7%
岩手|553|24,595|2.2%
宮城|3,581|66,964|5.3%
秋田|269|7,032|3.8%
山形|542|17,326|3.1%
福島|1,898|108,764|1.7%
茨城|5,682|24,855|22.9%
栃木|4,073|123,442|3.3%
群馬|4,422|91,052|4.9%
埼玉|29,031|541,493|5.4%
千葉|25,999|401,269|6.5%
東京|110,740|1,513,188|7.3%
神奈川|44,490|583,712|7.6%
新潟|1,055|43,116|2.4%
富山|905|35,869|2.5%
石川|1,830|49,879|3.7%
福井|544|31,630|1.7%
山梨|939|24,827|3.8%
長野|2,359|97,192|2.4%
岐阜|4,708|131,564|3.6%
静岡|5,082|185,615|2.7%
愛知|25,696|386,708|6.6%
三重|2,501|60,178|4.2%
都道府県名|陽性者数 検査人数||％
滋賀|2,432|72,067|3.4%
京都|9,039|154,109|5.9%
大阪|46,923|771,543|6.1%
兵庫|17,862|243,868|7.3%
奈良|3,350|81,198|4.1%
和歌山|1,161|24,373|4.8%
鳥取|208|40,189|0.5%
島根|284|15,115|1.9%
岡山|2,474|63,400|3.9%
広島|5,013|151,415|3.3%
山口|1,374|58,758|2.3%
徳島|449|25,972|1.7%
香川|750|43,913|1.7%
愛媛|1,058|31,297|3.4%
高知|884|7,091|12.5%
福岡|17,916|436,043|4.1%
佐賀|1,044|27,597|3.8%
長崎|1,609|66,646|2.4%
熊本|3,438|56,645|6.1%
大分|1,289|78,366|1.6%
宮崎|1,951|24,708|7.9%
鹿児島|1,758|67,053|2.6%
沖縄|8,136|144,079|5.6%
長崎船 その他|149|0|-
合計|427,251|7,627,790|5.6%
