都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|377,856|2,358,478|6,774|4|369,103|2,094
青森|60,872|261,427|1,576|0|59,187|109
岩手|37,565|296,619|904|0|36,565|96
宮城|92,619|619,097|1,803|1|90,402|199
秋田|31,866|63,637|528|0|31,267|71
山形|30,026|199,984|642|0|29,288|96
福島|66,161|866,094|1,086|0|64,850|225
茨城|163,638|1,380,150|1,394|0|161,800|444
栃木|93,461|770,804|941|0|92,244|276
群馬|97,566|672,799|1,108|0|96,137|321
埼玉|564,477|2,934,553|5,522|0|557,297|1,658
千葉|460,018|2,186,275|3,210|1|453,924|1,789
東京|1,581,122|7,139,883|18,425|1|1,558,134|4,563
神奈川|772,724|3,088,462|6,646|3|763,856|2,222
新潟|74,993|682,315|997|0|73,905|91
富山|39,562|260,348|1,309|0|38,158|95
石川|59,373|494,080|1,227|0|57,926|197
福井|38,254|339,945|873|0|37,336|45
山梨|34,086|353,833|387|0|33,636|68
長野|76,927|763,554|853|0|75,877|204
岐阜|107,456|933,029|1,600|0|105,287|344
静岡|177,277|1,303,937|2,022|0|176,421|420
愛知|561,237|2,878,002|8,090|2|551,052|2,095
三重|85,916|545,809|1,254|1|86,385|307
滋賀|94,330|669,629|1,367|0|92,742|221
京都|210,147|863,156|2,738|0|206,360|738
大阪|1,002,921|7,375,887|11,747|6|986,065|5,109
兵庫|438,601|1,621,921|4,821|4|431,531|2,249
奈良|95,409|537,090|1,176|2|93,842|391
和歌山|43,838|178,430|467|0|43,043|118
鳥取|16,003|419,338|316|0|15,465|20
島根|18,046|227,920|609|0|17,421|16
岡山|103,509|597,565|1,702|1|99,972|250
広島|166,324|1,972,180|3,047|0|162,783|494
山口|48,170|603,857|1,121|0|46,869|180
徳島|24,034|226,118|686|0|23,266|85
香川|50,336|288,667|640|0|49,568|128
愛媛|43,111|379,540|1,258|1|41,713|140
高知|29,871|310,136|1,015|1|28,741|115
福岡|442,645|2,794,802|5,808|0|429,355|1,267
佐賀|55,492|291,713|1,321|0|51,578|108
長崎|64,098|424,387|2,209|0|61,769|124
熊本|106,876|294,452|3,445|1|103,131|300
大分|57,077|617,180|754|0|56,158|165
宮崎|57,144|194,095|1,349|0|55,568|145
鹿児島|91,171|437,584|2,679|0|87,922|209
沖縄|243,834|909,625|10,514|7|232,753|482
その他（その他）|149|0|0|0|149|0
合計|9,188,188|53,628,386|129,960|36|9,017,801|31,083
