都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|466,838|2,580,354|45,895|4|418,745|2,147
青森|91,172|306,212|12,952|0|78,079|141
岩手|56,391|349,846|7,971|0|48,308|112
宮城|138,790|712,646|24,459|13|110,842|213
秋田|47,127|68,375|10,055|1|36,993|79
山形|43,530|214,154|7,825|0|35,610|105
福島|89,921|953,151|13,497|2|76,192|232
茨城|214,763|1,477,266|19,533|5|194,746|484
栃木|132,228|832,043|23,113|9|108,805|310
群馬|137,725|750,924|28,453|3|108,923|349
埼玉|781,213|3,317,003|97,021|32|682,502|1,690
千葉|636,329|2,398,585|56,538|9|512,696|1,879
東京|2,219,533|8,129,548|265,708|34|1,949,144|4,681
神奈川|1,053,301|3,777,966|105,420|43|945,555|2,326
新潟|112,550|775,436|18,102|6|94,353|95
富山|60,797|292,723|12,269|2|48,423|105
石川|84,775|590,246|12,568|0|71,983|201
福井|60,148|384,325|10,779|1|49,315|54
山梨|50,825|415,382|7,135|0|43,702|77
長野|108,720|849,795|11,378|0|93,355|215
岐阜|156,400|1,052,334|21,511|1|129,930|373
静岡|267,727|1,492,048|33,843|4|229,125|454
愛知|799,603|3,232,703|112,212|26|685,221|2,170
三重|129,329|617,937|19,166|0|112,418|342
滋賀|133,174|765,034|20,587|2|112,353|234
京都|297,034|974,088|51,441|96|240,470|771
大阪|1,403,550|8,303,802|226,674|60|1,171,499|5,377
兵庫|610,777|1,908,950|81,250|30|527,200|2,331
奈良|133,032|615,340|24,445|9|108,177|410
和歌山|68,429|225,416|7,571|6|60,424|139
鳥取|29,047|518,774|5,528|0|23,240|24
島根|44,350|286,178|7,345|4|36,962|43
岡山|140,920|677,834|10,686|2|113,178|259
広島|216,590|2,098,726|22,488|4|193,585|517
山口|75,648|661,736|12,454|3|62,993|201
徳島|36,394|255,859|5,036|4|31,291|92
香川|72,076|325,258|9,615|1|62,310|151
愛媛|74,500|457,267|13,315|2|61,031|154
高知|44,943|370,021|6,779|7|38,043|121
福岡|673,652|3,258,921|96,240|14|557,460|1,370
佐賀|90,899|343,638|12,022|0|73,386|136
長崎|101,808|536,646|19,501|1|82,257|151
熊本|193,289|392,764|30,661|9|162,246|382
大分|95,241|717,518|13,537|0|81,513|191
宮崎|96,820|210,063|16,106|3|80,342|175
鹿児島|152,858|541,382|24,108|1|124,629|241
沖縄|367,660|1,042,071|39,503|25|327,487|507
その他（その他）|149|0|0|0|149|0
合計|13,092,575|61,058,288|1,734,295|478|11,197,190|32,811
