都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|519,802|2,663,526|54,820|6|461,332|2,209
青森|101,696|320,365|13,444|0|88,101|151
岩手|64,645|366,652|8,634|1|55,889|122
宮城|163,062|737,810|29,042|10|129,586|235
秋田|55,084|69,420|13,664|4|41,340|80
山形|51,823|218,411|9,715|1|42,006|112
福島|104,996|983,888|16,626|3|88,135|235
茨城|245,893|1,477,266|23,986|8|221,406|501
栃木|152,526|850,622|28,045|8|124,156|325
群馬|157,580|783,045|43,143|2|114,073|364
埼玉|877,637|3,432,600|102,870|39|772,998|1,769
千葉|709,896|2,547,441|66,042|19|633,518|1,969
東京|2,470,104|8,415,120|259,672|40|2,205,628|4,804
神奈川|1,162,068|3,973,090|100,504|76|1,059,141|2,423
新潟|135,706|807,566|21,576|3|114,032|98
富山|71,463|303,378|13,272|4|58,080|111
石川|97,404|613,658|14,254|1|82,920|207
福井|70,260|397,212|11,633|3|58,569|58
山梨|60,452|429,374|8,809|0|51,633|87
長野|125,325|887,705|14,562|1|106,136|227
岐阜|182,891|1,098,687|29,277|3|149,380|391
静岡|314,242|1,551,553|42,186|10|267,365|514
愛知|916,381|3,385,956|130,438|44|783,684|2,259
三重|152,742|644,046|25,740|1|129,570|370
滋賀|152,748|797,134|25,918|2|126,582|248
京都|338,821|1,031,940|63,728|77|267,829|789
大阪|1,568,312|8,575,192|229,893|71|1,332,861|5,558
兵庫|693,943|2,018,809|86,800|35|604,754|2,400
奈良|150,770|640,026|35,099|14|115,247|424
和歌山|81,473|244,742|11,353|4|69,654|157
鳥取|35,273|543,962|7,103|1|27,760|29
島根|51,399|297,444|8,478|0|42,866|55
岡山|163,942|697,846|15,773|7|124,763|287
広島|248,181|2,221,351|37,630|10|210,009|542
山口|90,532|707,582|14,556|2|75,760|216
徳島|43,635|266,252|7,114|5|36,468|94
香川|84,034|339,737|12,853|3|71,003|178
愛媛|89,759|483,574|18,119|4|71,459|181
高知|53,643|386,929|10,136|3|43,368|139
福岡|766,844|3,402,844|100,916|25|643,016|1,450
佐賀|103,784|358,769|13,078|1|82,976|149
長崎|122,264|573,706|28,956|1|93,281|163
熊本|223,760|406,426|29,174|18|194,161|425
大分|111,120|752,052|15,135|3|95,780|205
宮崎|116,712|216,613|20,830|4|95,346|204
鹿児島|179,734|581,156|27,087|4|148,388|271
沖縄|405,913|1,069,544|37,752|22|367,300|530
その他（その他）|149|0|0|0|149|0
合計|14,840,423|63,572,021|1,939,435|603|12,779,458|34,315
