都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|42,897|833,746|983|6|40,475|1,422
青森|2,608|54,372|60|0|2,517|31
岩手|1,887|91,957|81|0|1,759|47
宮城|9,646|168,104|257|2|9,287|91
秋田|988|16,817|42|1|926|20
山形|2,091|69,954|26|0|2,018|47
福島|5,266|301,900|160|4|4,944|162
茨城|11,418|34,393|479|4|10,773|166
栃木|7,555|321,213|288|8|7,183|84
群馬|8,200|207,093|126|0|7,962|155
埼玉|51,487|1,043,841|3,725|28|46,917|845
千葉|44,986|751,621|2,414|18|41,844|728
東京|196,400|2,718,416|11,957|68|182,166|2,277
神奈川|75,762|1,119,795|4,211|48|70,571|980
新潟|3,696|186,709|196|1|3,446|54
富山|2,138|78,919|76|2|2,024|38
石川|4,435|132,260|352|1|3,958|116
福井|1,440|75,484|49|0|1,355|36
山梨|2,218|65,656|47|0|2,150|21
長野|5,119|219,477|49|0|5,052|94
岐阜|9,622|287,871|109|2|9,325|188
静岡|10,079|437,255|521|3|9,404|154
愛知|52,493|891,300|898|9|50,593|1,002
三重|5,551|156,553|187|3|5,390|113
滋賀|5,757|165,332|122|1|5,543|92
京都|17,341|302,456|405|6|16,634|249
大阪|108,614|2,376,024|3,276|142|101,762|2,716
兵庫|42,255|542,311|808|13|40,132|1,315
奈良|8,722|181,075|226|4|8,363|133
和歌山|2,785|43,424|61|0|2,614|49
鳥取|633|93,171|123|1|480|2
島根|655|32,936|84|0|569|2
岡山|7,810|178,588|104|1|7,518|127
広島|11,772|577,995|132|4|11,430|178
山口|3,204|128,696|36|0|3,088|80
徳島|1,729|69,684|57|0|1,610|63
香川|2,152|91,907|31|0|2,094|32
愛媛|2,817|102,711|55|2|2,686|76
高知|1,987|60,619|74|2|1,884|29
福岡|36,948|889,653|803|10|35,466|528
佐賀|2,633|61,421|57|0|2,584|24
長崎|3,320|133,082|92|0|3,161|69
熊本|6,549|83,222|48|0|6,380|121
大分|3,550|181,182|45|0|3,441|64
宮崎|3,139|45,086|32|0|3,073|27
鹿児島|3,817|115,829|56|1|3,742|39
沖縄|22,423|272,699|997|41|21,188|224
（その他）|149|-|0|-|149|-
合計|858,743|16,993,809|35,017|436|807,630|15,110
