都道府県名|陽性者数 検査人数※3||％
北海道|14,529|258,606|5.6%
青森 ※3|559|11,084|5.0%
※3※4※5 岩手|417|15,492|2.7%
宮城 ※3※5|2,514|25,990|9.7%
秋田|167|4,891|3.4%
山形|422|11,028|3.8%
福島 ※3|1,179|63,665|1.9%
茨城|3,056|19,492|15.7%
栃木 ※3※5|2,392|79,829|3.0%
群馬 ※3※5|2,798|58,301|4.8%
埼玉 ※4|17,413|350,294|5.0%
千葉|13,830|245,161|5.6%
東京 ※1|73,450|1,083,806|6.8%
神奈川|26,617|381,811|7.0%
新潟 ※3※5|640|29,869|2.1%
富山 ※3※5|687|23,807|2.9%
石川 ※3|1,208|32,829|3.7%
福井 ※3|397|21,076|1.9%
山梨 ※3|676|14,741|4.6%
長野 ※3※5|1,541|55,758|2.8%
岐阜 ※5|2,973|76,359|3.9%
静岡 ※3※4|3,201|106,902|3.0%
※3※4※5 愛知|18,715|231,862|8.1%
三重 ※3|1,471|32,398|4.5%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,521|41,737|3.6%
京都|5,518|101,733|5.4%
大阪 ※3※5|33,920|515,668|6.6%
※3※4※5 兵庫|11,495|155,347|7.4%
奈良 ※5|2,311|53,820|4.3%
和歌山|748|17,542|4.3%
鳥取 ※3※4|163|27,458|0.6%
島根 ※5|224|9,344|2.4%
岡山 ※4|1,775|35,839|5.0%
広島 ※3|3,952|86,026|4.6%
山口 ※4|685|32,146|2.1%
徳島 ※3|226|16,387|1.4%
香川 ※5|414|28,532|1.5%
愛媛|630|15,627|4.0%
高知|725|6,139|11.8%
※3※4※5 福岡|10,736|285,837|3.8%
佐賀 ※3|579|16,379|3.5%
長崎|855|44,502|1.9%
熊本|2,272|39,720|5.7%
大分|821|49,347|1.7%
宮崎|1,173|15,272|7.7%
鹿児島|1,189|43,828|2.7%
沖縄 ※3|5,829|94,941|6.1%
長崎船 ※2 その他|149|0|-
合計|278,762|4,968,222|5.6%
