都道府県名|陽性者数 検査人数※3||％
北海道|10,367|175,957|5.9%
青森 ※3|354|7,598|4.7%
※3※4※5 岩手|225|10,329|2.2%
宮城 ※3※5|1,336|20,570|6.5%
秋田|90|3,744|2.4%
山形|196|8,585|2.3%
福島 ※3|555|42,934|1.3%
茨城|1,892|17,667|10.7%
栃木 ※3※5|800|59,719|1.3%
群馬 ※3※5|1,482|40,276|3.7%
埼玉 ※4|9,728|254,923|3.8%
千葉|7,692|186,561|4.1%
東京 ※1|44,927|824,387|5.4%
神奈川|14,100|275,654|5.1%
新潟 ※3※5|369|23,681|1.6%
富山 ※3※5|462|18,434|2.5%
石川 ※3|884|24,070|3.7%
福井 ※3|329|16,252|2.0%
山梨 ※3|431|14,021|3.1%
長野 ※3※5|863|34,907|2.5%
岐阜 ※5|1,336|46,517|2.9%
静岡 ※3※4|2,030|66,196|3.1%
※3※4※5 愛知|11,636|143,982|8.1%
三重 ※3|967|22,079|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|842|29,940|2.8%
京都|2,947|71,928|4.1%
大阪 ※3※5|23,420|362,323|6.5%
※3※4※5 兵庫|6,692|106,995|6.3%
奈良 ※5|1,386|37,171|3.7%
和歌山|528|14,421|3.7%
鳥取 ※3※4|66|19,097|0.3%
島根 ※5|158|7,158|2.2%
岡山 ※4|689|20,802|3.3%
広島 ※3|1,128|39,067|2.9%
山口 ※4|422|22,347|1.9%
徳島 ※3|187|13,592|1.4%
香川 ※5|191|18,712|1.0%
愛媛|353|8,633|4.1%
高知|281|4,309|6.5%
※3※4※5 福岡|6,264|216,468|2.9%
佐賀 ※3|354|10,900|3.2%
長崎|277|28,830|1.0%
熊本|1,133|26,916|4.2%
大分|439|31,686|1.4%
宮崎|574|10,751|5.3%
鹿児島|741|29,079|2.5%
沖縄 ※3|4,656|77,481|6.0%
長崎船 ※2 その他|149|0|-
合計|166,928|3,547,649|4.7%
