都道府県名|陽性者数 検査人数※3||％
北海道|12,961|229,609|5.6%
青森 ※3|428|9,237|4.6%
※3※4※5 岩手|372|13,693|2.7%
宮城 ※3※5|2,035|24,089|8.4%
秋田|125|4,020|3.1%
山形|365|10,057|3.6%
福島 ※3|886|55,218|1.6%
茨城|2,307|18,432|12.5%
栃木 ※3※5|1,235|70,531|1.8%
群馬 ※3※5|2,172|50,358|4.3%
埼玉 ※4|13,240|302,712|4.4%
千葉|10,218|220,069|4.6%
東京 ※1|56,559|962,086|5.9%
神奈川|19,516|334,987|5.8%
新潟 ※3※5|505|27,246|1.9%
富山 ※3※5|541|21,295|2.5%
石川 ※3|1,034|28,990|3.6%
福井 ※3|346|18,724|1.8%
山梨 ※3|509|14,417|3.5%
長野 ※3※5|1,126|45,163|2.5%
岐阜 ※5|2,023|62,735|3.2%
静岡 ※3※4|2,568|88,334|2.9%
※3※4※5 愛知|15,448|191,017|8.1%
三重 ※3|1,225|29,023|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,087|36,012|3.0%
京都|4,105|87,310|4.7%
大阪 ※3※5|28,927|446,674|6.5%
※3※4※5 兵庫|9,163|132,820|6.9%
奈良 ※5|1,882|46,358|4.1%
和歌山|594|16,235|3.7%
鳥取 ※3※4|87|23,190|0.4%
島根 ※5|202|9,344|2.2%
岡山 ※4|1,266|31,723|4.0%
広島 ※3|2,925|65,962|4.4%
山口 ※4|524|26,760|2.0%
徳島 ※3|195|14,949|1.3%
香川 ※5|282|23,175|1.2%
愛媛|415|12,107|3.4%
高知|626|5,727|10.9%
※3※4※5 福岡|8,155|255,221|3.2%
佐賀 ※3|445|14,579|3.1%
長崎|457|37,729|1.2%
熊本|1,669|33,475|5.0%
大分|620|40,661|1.5%
宮崎|710|12,114|5.9%
鹿児島|946|36,020|2.6%
沖縄 ※3|5,199|86,755|6.0%
長崎船 ※2 その他|149|0|-
合計|218,374|4,326,942|5.0%
