都道府県名|陽性者数 検査人数※3||％
北海道|2,126|58,133|3.7%
青森 ※3|37|2,458|1.5%
※3※4※5 岩手|23|4,282|0.5%
宮城 ※3※5|413|10,472|3.9%
秋田|53|2,145|2.5%
山形|78|5,184|1.5%
福島 ※3|263|20,652|1.3%
茨城|668|12,623|5.3%
栃木 ※3|433|30,880|1.4%
群馬 ※3※5|719|22,752|3.2%
埼玉 ※4|4,715|144,550|3.3%
千葉|3,968|95,756|4.1%
東京 ※1|26,169|464,893|5.6%
神奈川|7,040|156,859|4.5%
新潟 ※3※5|170|15,617|1.1%
富山 ※3※5|421|12,509|3.4%
石川 ※3|777|13,336|5.8%
福井 ※3|244|9,834|2.5%
山梨 ※3|193|10,748|1.8%
長野 ※3※5|311|19,157|1.6%
岐阜 ※5|627|23,106|2.7%
静岡 ※3※4|551|34,985|1.6%
※3※4※5 愛知|5,384|78,040|6.9%
三重 ※3|523|12,619|4.1%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|503|12,016|4.2%
京都|1,767|43,228|4.1%
大阪 ※3※5|10,719|188,237|5.7%
※3※4※5 兵庫|2,738|57,170|4.8%
奈良 ※5|575|20,885|2.8%
和歌山|242|9,331|2.6%
鳥取 ※3|36|5,488|0.7%
島根 ※5|140|5,808|2.4%
岡山 ※4|157|8,110|1.9%
広島 ※3|587|21,121|2.8%
山口 ※4|201|9,915|2.0%
徳島 ※3|148|6,944|2.1%
香川 ※5|93|10,851|0.9%
愛媛|114|4,099|2.8%
高知|138|3,493|4.0%
※3※4※5 福岡|5,043|134,321|3.8%
佐賀 ※3|245|6,130|4.0%
長崎|238|18,768|1.3%
熊本|579|16,645|3.5%
大分|158|17,153|0.9%
宮崎|344|8,601|4.0%
鹿児島|422|19,261|2.2%
沖縄 ※3|2,541|39,901|6.4%
長崎船 ※2 その他|149|0|-
合計|83,783|1,929,066|4.3%
