都道府県名|陽性者数 検査人数※3||％
北海道|11,564|196,775|5.9%
青森 ※3|382|8,347|4.6%
※3※4※5 岩手|315|12,217|2.6%
宮城 ※3※5|1,561|22,027|7.1%
秋田|94|3,865|2.4%
山形|281|9,248|3.0%
福島 ※3|630|46,150|1.4%
茨城|2,030|18,013|11.3%
栃木 ※3※5|915|62,245|1.5%
群馬 ※3※5|1,708|43,736|3.9%
埼玉 ※4|10,715|270,128|4.0%
千葉|8,388|193,270|4.3%
東京 ※1|47,990|866,984|5.5%
神奈川|15,397|289,534|5.3%
新潟 ※3※5|414|24,941|1.7%
富山 ※3※5|475|19,337|2.5%
石川 ※3|922|25,527|3.6%
福井 ※3|333|17,048|2.0%
山梨 ※3|454|14,198|3.2%
長野 ※3※5|991|38,731|2.6%
岐阜 ※5|1,544|52,060|3.0%
静岡 ※3※4|2,227|70,589|3.2%
※3※4※5 愛知|12,820|162,270|7.9%
三重 ※3|1,086|24,205|4.5%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|877|31,553|2.8%
京都|3,307|76,611|4.3%
大阪 ※3※5|25,420|388,373|6.5%
※3※4※5 兵庫|7,403|115,379|6.4%
奈良 ※5|1,530|40,263|3.8%
和歌山|562|15,266|3.7%
鳥取 ※3※4|68|20,394|0.3%
島根 ※5|168|7,659|2.2%
岡山 ※4|702|24,136|2.9%
広島 ※3|1,733|48,780|3.6%
山口 ※4|440|22,347|2.0%
徳島 ※3|187|13,978|1.3%
香川 ※5|201|19,751|1.0%
愛媛|363|9,778|3.7%
高知|404|4,847|8.3%
※3※4※5 福岡|6,749|226,346|3.0%
佐賀 ※3|390|12,246|3.2%
長崎|328|30,645|1.1%
熊本|1,298|28,528|4.5%
大分|534|34,830|1.5%
宮崎|616|11,354|5.4%
鹿児島|837|32,430|2.6%
沖縄 ※3|4,824|80,078|6.0%
長崎船 ※2 その他|149|0|-
合計|182,326|3,787,017|4.8%
