都道府県名|陽性者数 検査人数||％
北海道|17,720|327,318|5.4%
青森|730|13,519|5.4%
岩手|505|20,461|2.5%
宮城|3,431|48,693|7.0%
秋田|266|6,739|3.9%
山形|513|15,189|3.4%
福島|1,750|87,691|2.0%
茨城|4,914|23,513|20.9%
栃木|3,803|107,222|3.5%
群馬|3,969|77,531|5.1%
埼玉|25,851|466,838|5.5%
千葉|22,948|335,596|6.8%
東京|101,466|1,346,412|7.5%
神奈川|41,404|509,791|8.1%
新潟|928|37,467|2.5%
富山|876|31,560|2.8%
石川|1,484|41,738|3.6%
福井|517|27,353|1.9%
山梨|902|14,741|6.1%
長野|2,314|85,149|2.7%
岐阜|4,321|107,762|4.0%
静岡|4,645|151,467|3.1%
愛知|24,202|325,712|7.4%
三重|2,259|46,585|4.8%
都道府県名|陽性者数 検査人数||％
滋賀|2,180|58,374|3.7%
京都|8,566|134,586|6.4%
大阪|44,355|665,303|6.7%
兵庫|16,662|206,992|8.0%
奈良|3,121|70,956|4.4%
和歌山|1,085|22,157|4.9%
鳥取|203|35,387|0.6%
島根|273|12,166|2.2%
岡山|2,366|51,686|4.6%
広島|4,841|120,841|4.0%
山口|1,272|49,814|2.6%
徳島|389|22,374|1.7%
香川|670|38,359|1.7%
愛媛|997|25,633|3.9%
高知|851|6,948|12.2%
福岡|16,316|378,330|4.3%
佐賀|965|24,285|4.0%
長崎|1,537|58,238|2.6%
熊本|3,360|51,587|6.5%
大分|1,191|65,881|1.8%
宮崎|1,866|23,721|7.9%
鹿児島|1,632|57,426|2.8%
沖縄|7,691|128,395|6.0%
長崎船 その他|149|0|-
合計|394,256|6,565,486|6.0%
