都道府県名|陽性者数 検査人数※3||％
北海道|8,718|150,003|5.8%
青森 ※3|295|6,697|4.4%
※3※4※5 岩手|194|9,451|2.1%
宮城 ※3※5|1,202|18,866|6.4%
秋田|90|3,668|2.5%
山形|135|7,530|1.8%
福島 ※3|501|40,014|1.3%
茨城|1,561|16,741|9.3%
栃木 ※3※5|638|54,416|1.2%
群馬 ※3※5|1,207|35,606|3.4%
埼玉 ※4|8,427|235,202|3.6%
千葉|7,008|163,547|4.3%
東京 ※1|40,939|760,947|5.4%
神奈川|12,559|254,992|4.9%
新潟 ※3※5|331|22,272|1.5%
富山 ※3※5|459|17,114|2.7%
石川 ※3|853|21,967|3.9%
福井 ※3|316|14,684|2.2%
山梨 ※3|338|13,556|2.5%
⾧野 ※3※5|718|31,328|2.3%
岐阜 ※5|1,072|33,776|3.2%
静岡 ※3※4|1,620|56,892|2.8%
※3※4※5 愛知|10,112|135,512|7.5%
三重 ※3|858|19,848|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|783|27,762|2.8%
京都|2,663|65,925|4.0%
大阪 ※3※5|20,273|323,566|6.3%
※3※4※5 兵庫|5,570|95,654|5.8%
奈良 ※5|1,141|32,940|3.5%
和歌山|452|13,463|3.4%
鳥取 ※3※4|58|16,572|0.3%
島根 ※5|147|6,772|2.2%
岡山 ※4|599|19,205|3.1%
広島 ※3|838|34,993|2.4%
山口 ※4|386|17,013|2.3%
徳島 ※3|181|7,826|2.3%
香川 ※5|143|17,069|0.8%
愛媛|314|7,104|4.4%
高知|152|3,755|4.0%
※3※4※5 福岡|5,827|200,689|2.9%
佐賀 ※3|309|9,667|3.2%
⾧崎|271|26,979|1.0%
熊本|1,012|23,912|4.2%
大分|295|27,366|1.1%
宮崎|503|9,765|5.2%
鹿児島|612|27,472|2.2%
沖縄 ※3|4,326|72,779|5.9%
⾧崎船 ※2 その他|149|0|-
合計|147,155|3,212,877|4.6%
