都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|43,015|834,853|1,000|6|40,552|1,422
青森|2,608|54,399|56|0|2,521|31
岩手|1,899|91,968|84|0|1,768|47
宮城|9,651|168,759|252|2|9,305|91
秋田|990|16,817|41|1|929|20
山形|2,092|69,954|26|0|2,019|47
福島|5,289|302,093|174|4|4,953|162
茨城|11,462|34,393|482|4|10,814|166
栃木|7,586|321,278|298|8|7,204|84
群馬|8,200|207,093|145|1|7,967|155
埼玉|51,832|1,048,444|3,795|33|47,191|846
千葉|45,287|752,268|2,515|18|42,044|728
東京|197,528|2,724,519|11,881|74|183,370|2,277
神奈川|76,308|1,119,795|4,182|49|71,146|980
新潟|3,724|187,556|224|1|3,446|54
富山|2,141|78,919|78|2|2,025|38
石川|4,470|132,568|363|1|3,982|116
福井|1,445|75,827|44|0|1,365|36
山梨|2,218|65,656|47|0|2,150|21
長野|5,127|219,477|54|0|5,055|94
岐阜|9,634|287,919|109|2|9,337|188
静岡|10,137|437,255|464|2|9,519|154
愛知|52,561|891,300|898|10|50,661|1,002
三重|5,562|156,553|196|3|5,392|113
滋賀|5,768|165,430|126|1|5,550|92
京都|17,375|302,828|416|6|16,676|249
大阪|108,897|2,387,175|3,292|147|102,019|2,717
兵庫|42,316|543,044|846|13|40,155|1,315
奈良|8,737|181,075|227|5|8,377|133
和歌山|2,795|43,500|65|0|2,620|49
鳥取|640|93,682|123|1|484|2
島根|662|32,936|98|0|562|2
岡山|7,841|178,588|104|1|7,518|127
広島|11,801|577,995|142|4|11,443|179
山口|3,206|128,696|36|0|3,090|80
徳島|1,734|69,792|62|0|1,610|63
香川|2,156|91,943|33|0|2,095|32
愛媛|2,823|102,729|51|2|2,695|77
高知|1,989|60,661|63|3|1,897|29
福岡|37,047|891,518|940|10|35,480|528
佐賀|2,636|61,579|59|0|2,586|24
長崎|3,321|133,273|88|0|3,165|69
熊本|6,549|83,473|48|0|6,380|121
大分|3,561|181,233|53|0|3,444|64
宮崎|3,139|45,086|38|0|3,073|27
鹿児島|3,825|115,968|73|1|3,744|39
沖縄|22,522|274,041|1,045|33|21,238|228
（その他）|149|-|0|-|149|-
合計|862,255|17,025,908|35,436|448|810,765|15,118
