都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|451,557|2,559,797|39,779|3|406,494|2,136
青森|87,767|301,672|13,425|0|74,203|139
岩手|53,654|345,260|7,934|0|45,613|107
宮城|131,389|702,776|21,944|11|106,285|212
秋田|44,677|67,328|9,063|1|35,535|79
山形|41,320|212,478|7,385|0|33,842|103
福島|86,148|941,556|12,773|1|73,146|229
茨城|204,731|1,477,266|17,698|3|186,556|477
栃木|122,522|824,667|19,469|5|102,759|294
群馬|129,034|741,384|22,477|2|108,540|342
埼玉|750,443|3,280,070|101,697|29|647,066|1,680
千葉|612,260|2,398,585|56,538|9|512,696|1,861
東京|2,135,250|8,036,199|306,930|24|1,823,659|4,661
神奈川|1,011,249|3,683,405|109,740|48|899,199|2,310
新潟|105,419|761,717|16,688|7|88,639|93
富山|58,129|287,785|12,349|1|45,678|102
石川|81,554|578,644|12,124|0|69,206|201
福井|55,823|377,747|9,135|1|46,634|54
山梨|47,437|415,382|7,175|0|40,237|75
長野|104,092|840,180|10,784|0|88,720|209
岐阜|148,217|1,042,536|21,142|3|123,840|368
静岡|254,791|1,468,792|36,662|3|209,398|448
愛知|767,838|3,170,868|115,432|19|650,256|2,150
三重|123,330|617,937|18,710|0|106,777|336
滋賀|125,409|753,373|17,341|1|107,836|232
京都|283,610|961,942|45,036|90|232,613|768
大阪|1,354,667|8,221,751|207,162|51|1,142,163|5,342
兵庫|584,166|1,873,848|75,489|26|506,370|2,313
奈良|127,184|603,356|20,908|7|105,870|406
和歌山|64,885|219,536|7,035|3|57,440|131
鳥取|27,281|511,790|5,051|0|21,953|23
島根|42,088|286,178|7,751|5|34,297|40
岡山|134,818|677,834|10,686|2|113,178|258
広島|207,559|2,098,726|19,732|6|187,311|516
山口|71,529|661,736|11,858|1|59,474|197
徳島|34,885|254,268|5,304|3|29,524|91
香川|68,887|322,380|9,490|2|59,252|145
愛媛|70,328|452,553|12,840|1|57,338|150
高知|42,872|352,706|6,563|8|36,190|119
福岡|642,241|3,208,199|92,698|11|527,251|1,358
佐賀|86,621|338,225|12,853|0|69,258|133
長崎|94,642|520,537|16,598|1|80,009|145
熊本|179,876|386,196|28,056|10|151,451|369
大分|90,231|710,695|13,493|0|76,550|188
宮崎|91,403|207,985|16,771|1|74,287|168
鹿児島|144,000|528,778|24,211|2|116,536|234
沖縄|354,401|1,032,665|40,712|26|313,068|507
その他（その他）|149|0|0|0|149|0
合計|12,532,363|60,319,288|1,714,691|427|10,684,346|32,499
