都道府県名|陽性者数 検査人数※3||％
北海道|13,275|236,113|5.6%
青森 ※3|459|9,483|4.8%
※3※4※5 岩手|382|14,310|2.7%
宮城 ※3※5|2,137|24,511|8.7%
秋田|136|4,565|3.0%
山形|382|10,103|3.8%
福島 ※3|924|56,898|1.6%
茨城|2,418|18,572|13.0%
栃木 ※3※5|1,405|72,081|1.9%
群馬 ※3※5|2,278|52,671|4.3%
埼玉 ※4|13,968|313,228|4.5%
千葉|10,826|224,656|4.8%
東京 ※1|58,840|975,031|6.0%
神奈川|20,675|342,311|6.0%
新潟 ※3※5|532|27,858|1.9%
富山 ※3※5|550|21,742|2.5%
石川 ※3|1,064|29,708|3.6%
福井 ※3|353|19,362|1.8%
山梨 ※3|525|14,459|3.6%
長野 ※3※5|1,163|47,545|2.4%
岐阜 ※5|2,209|65,046|3.4%
静岡 ※3※4|2,651|88,334|3.0%
※3※4※5 愛知|16,021|199,918|8.0%
三重 ※3|1,273|29,023|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,154|37,076|3.1%
京都|4,455|90,765|4.9%
大阪 ※3※5|29,686|463,034|6.4%
※3※4※5 兵庫|9,624|137,163|7.0%
奈良 ※5|1,966|47,698|4.1%
和歌山|607|16,415|3.7%
鳥取 ※3※4|111|24,092|0.5%
島根 ※5|208|9,344|2.2%
岡山 ※4|1,340|31,723|4.2%
広島 ※3|3,149|73,605|4.3%
山口 ※4|572|26,760|2.1%
徳島 ※3|196|15,283|1.3%
香川 ※5|301|24,063|1.3%
愛媛|457|12,501|3.7%
高知|654|5,871|11.1%
※3※4※5 福岡|8,774|263,231|3.3%
佐賀 ※3|464|14,991|3.1%
長崎|611|38,857|1.6%
熊本|1,799|34,891|5.2%
大分|667|42,231|1.6%
宮崎|715|12,454|5.7%
鹿児島|1,006|38,705|2.6%
沖縄 ※3|5,307|88,963|6.0%
長崎船 ※2 その他|149|0|-
合計|228,418|4,447,244|5.1%
