都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|386,334|2,410,075|5,343|1|378,483|2,099
青森|64,508|270,917|2,331|0|62,061|116
岩手|38,917|304,632|1,040|0|37,780|97
宮城|96,045|637,062|2,089|0|93,352|201
秋田|32,460|64,053|454|0|31,934|72
山形|31,212|203,006|927|0|30,188|97
福島|67,689|885,678|1,183|0|66,279|227
茨城|167,155|1,380,150|2,002|0|164,703|450
栃木|95,349|782,230|1,565|0|93,506|278
群馬|99,889|686,795|1,876|0|97,690|323
埼玉|579,741|3,002,142|12,923|3|565,153|1,665
千葉|473,016|2,240,725|6,982|2|460,494|1,802
東京|1,634,725|7,332,539|45,789|6|1,584,351|4,585
神奈川|795,391|3,152,340|16,527|10|776,624|2,240
新潟|77,005|698,867|1,450|0|75,464|91
富山|41,144|266,657|1,502|0|39,546|96
石川|61,433|519,591|1,520|1|59,692|198
福井|40,067|347,189|1,066|0|38,955|46
山梨|35,129|367,347|718|0|34,348|68
長野|79,075|782,482|1,353|0|77,418|205
岐阜|111,735|957,311|2,862|1|107,984|348
静岡|182,878|1,339,672|4,562|0|177,416|421
愛知|579,014|2,948,527|13,490|2|563,424|2,100
三重|89,780|565,118|2,767|1|88,777|313
滋賀|97,315|690,269|2,273|0|94,820|222
京都|216,676|881,876|5,014|13|210,007|752
大阪|1,035,768|7,565,186|27,734|5|1,002,818|5,216
兵庫|451,301|1,666,607|8,887|4|440,162|2,252
奈良|97,895|549,694|2,087|3|95,416|392
和歌山|46,286|184,287|1,502|0|44,453|118
鳥取|17,439|432,803|1,191|0|16,015|20
島根|23,125|234,585|4,348|0|18,760|17
岡山|106,281|624,097|1,210|1|102,840|252
広島|171,667|2,008,797|3,934|1|167,238|495
山口|50,781|619,372|1,901|0|48,699|181
徳島|25,144|232,710|733|0|24,331|85
香川|51,858|295,903|1,141|0|50,589|128
愛媛|47,407|394,743|3,295|1|43,969|143
高知|31,708|323,703|1,261|1|30,331|116
福岡|460,753|2,876,384|11,081|1|440,112|1,279
佐賀|60,396|302,156|3,087|0|53,870|110
長崎|68,768|451,512|3,431|0|65,221|126
熊本|118,897|311,382|7,679|2|110,910|308
大分|60,749|636,665|2,819|0|57,765|165
宮崎|61,105|195,747|2,905|0|57,967|148
鹿児島|97,743|452,407|4,113|0|92,566|213
沖縄|265,557|944,279|14,896|12|250,145|493
その他（その他）|149|0|0|0|149|0
合計|9,524,459|55,020,269|248,843|71|9,224,775|31,369
