都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|76,542|1,377,898|11,293|0|63,085|1,484
青森|8,107|119,059|1,640|0|6,428|39
岩手|3,993|144,590|354|0|3,586|53
宮城|18,613|299,295|1,460|2|16,712|118
秋田|2,868|31,662|726|0|2,115|27
山形|4,531|125,007|711|0|3,764|56
福島|10,993|506,066|1,016|3|9,801|176
茨城|30,567|42,163|3,851|0|26,495|221
栃木|20,591|558,760|3,495|0|16,975|121
群馬|24,286|401,102|4,787|2|19,315|184
埼玉|144,277|1,818,795|18,809|10|124,405|1,063
千葉|124,814|1,354,992|13,718|3|106,809|1,038
東京|484,463|4,585,356|74,713|14|406,565|3,185
神奈川|207,483|2,020,239|26,016|18|180,137|1,330
新潟|13,387|379,659|3,437|1|9,887|63
富山|5,762|145,247|664|0|5,046|52
石川|10,267|231,852|1,872|0|8,234|140
福井|4,486|149,902|720|1|3,728|38
山梨|6,954|151,221|1,185|0|5,745|29
長野|14,291|423,497|2,432|0|10,637|97
岐阜|25,041|528,480|3,519|0|20,484|221
静岡|37,318|809,325|8,303|2|28,195|210
愛知|135,139|1,621,682|22,570|3|111,396|1,173
三重|18,810|288,826|2,725|1|16,323|169
滋賀|18,490|325,413|4,333|0|14,052|105
京都|51,734|529,334|10,319|42|39,499|294
大阪|276,098|4,662,737|55,732|277|217,277|3,089
兵庫|102,362|959,031|16,740|5|84,218|1,405
奈良|21,243|321,833|3,672|10|17,418|153
和歌山|8,393|81,636|2,366|7|5,843|64
鳥取|2,576|197,967|699|0|1,840|5
島根|3,693|75,360|1,394|1|2,293|6
岡山|21,082|343,602|1,689|0|15,815|136
広島|40,787|1,134,668|15,392|5|25,178|217
山口|10,926|256,718|2,956|2|7,875|95
徳島|3,999|127,479|517|0|3,418|67
香川|6,512|160,633|1,448|0|5,025|39
愛媛|8,635|200,547|2,158|3|6,393|84
高知|5,029|124,752|669|4|4,326|34
福岡|100,450|1,605,997|19,157|2|77,272|634
佐賀|9,017|142,336|1,831|0|6,782|32
長崎|10,885|227,095|3,957|2|6,863|74
熊本|22,366|145,194|3,419|3|18,808|139
大分|11,245|341,665|2,245|0|8,916|84
宮崎|9,051|86,968|2,574|0|6,416|41
鹿児島|13,263|201,559|2,268|0|10,402|68
沖縄|77,102|516,943|10,146|47|66,528|399
その他（その他）|149|0|0|0|149|0
合計|2,268,670|30,884,142|375,697|470|1,858,473|18,551
