都道府県名|陽性者数 検査人数※3||％
北海道|12,062|209,646|5.8%
青森 ※3|390|8,660|4.5%
※3※4※5 岩手|330|12,936|2.6%
宮城 ※3※5|1,707|23,482|7.3%
秋田|95|3,878|2.4%
山形|302|9,487|3.2%
福島 ※3|697|49,033|1.4%
茨城|2,117|18,137|11.7%
栃木 ※3※5|1,002|65,415|1.5%
群馬 ※3※5|1,897|46,260|4.1%
埼玉 ※4|11,514|280,656|4.1%
千葉|8,936|203,597|4.4%
東京 ※1|50,890|901,556|5.6%
神奈川|16,613|311,376|5.3%
新潟 ※3※5|435|25,657|1.7%
富山 ※3※5|487|19,756|2.5%
石川 ※3|954|26,803|3.6%
福井 ※3|337|17,465|1.9%
山梨 ※3|467|14,278|3.3%
⾧野 ※3※5|1,033|40,462|2.6%
岐阜 ※5|1,718|56,223|3.1%
静岡 ※3※4|2,354|74,303|3.2%
※3※4※5 愛知|13,737|170,726|8.0%
三重 ※3|1,131|26,913|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|918|33,083|2.8%
京都|3,559|79,776|4.5%
大阪 ※3※5|26,787|410,181|6.5%
※3※4※5 兵庫|7,973|121,583|6.6%
奈良 ※5|1,628|41,712|3.9%
和歌山|573|15,681|3.7%
鳥取 ※3※4|68|21,073|0.3%
島根 ※5|179|8,556|2.1%
岡山 ※4|971|27,231|3.6%
広島 ※3|2,108|56,843|3.7%
山口 ※4|458|24,734|1.9%
徳島 ※3|189|14,249|1.3%
香川 ※5|206|20,498|1.0%
愛媛|374|10,840|3.5%
高知|478|5,222|9.2%
※3※4※5 福岡|7,135|238,294|3.0%
佐賀 ※3|409|13,199|3.1%
⾧崎|352|32,305|1.1%
熊本|1,382|29,520|4.7%
大分|566|37,141|1.5%
宮崎|658|11,569|5.7%
鹿児島|868|33,826|2.6%
沖縄 ※3|4,946|83,408|5.9%
⾧崎船 ※2 その他|149|0|-
合計|194,139|3,987,229|4.9%
