都道府県名|陽性者数 検査人数※3||％
北海道|2,347|64,209|3.7%
青森 ※3|37|2,590|1.4%
※3※4※5 岩手|24|4,599|0.5%
宮城 ※3※5|484|11,436|4.2%
秋田|59|2,309|2.6%
山形|81|5,283|1.5%
福島 ※3|314|22,904|1.4%
茨城|709|12,878|5.5%
栃木 ※3|445|33,448|1.3%
群馬 ※3※5|759|24,772|3.1%
埼玉 ※4|5,082|152,740|3.3%
千葉|4,311|104,962|4.1%
東京 ※1|27,715|503,424|5.5%
神奈川|7,508|167,935|4.5%
新潟 ※3※5|179|16,249|1.1%
富山 ※3※5|422|13,250|3.2%
石川 ※3|780|14,384|5.4%
福井 ※3|249|10,194|2.4%
山梨 ※3|196|10,962|1.8%
長野 ※3※5|320|20,010|1.6%
岐阜 ※5|634|24,149|2.6%
静岡 ※3※4|565|37,352|1.5%
※3※4※5 愛知|5,525|84,316|6.6%
三重 ※3|537|14,087|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|514|12,837|4.0%
京都|1,809|45,380|4.0%
大阪 ※3※5|11,154|201,310|5.5%
※3※4※5 兵庫|2,893|60,792|4.8%
奈良 ※5|599|21,963|2.7%
和歌山|249|9,683|2.6%
鳥取 ※3|36|5,528|0.7%
島根 ※5|140|5,930|2.4%
岡山 ※4|163|8,654|1.9%
広島 ※3|627|22,098|2.8%
山口 ※4|209|10,628|2.0%
徳島 ※3|149|7,085|2.1%
香川 ※5|94|11,526|0.8%
愛媛|115|4,175|2.8%
高知|139|3,540|3.9%
※3※4※5 福岡|5,101|143,502|3.6%
佐賀 ※3|248|6,282|3.9%
長崎|239|19,903|1.2%
熊本|690|17,694|3.9%
大分|158|18,138|0.9%
宮崎|344|8,656|4.0%
鹿児島|447|20,254|2.2%
沖縄 ※3|2,740|44,353|6.2%
長崎船 ※2 その他|149|0|-
合計|88,288|2,068,353|4.3%
