都道府県名|陽性者数 検査人数※3||％
北海道|13,142|233,173|5.6%
青森 ※3|453|9,366|4.8%
※3※4※5 岩手|380|14,027|2.7%
宮城 ※3※5|2,104|24,274|8.7%
秋田|132|4,565|2.9%
山形|378|10,101|3.7%
福島 ※3|907|56,176|1.6%
茨城|2,381|18,572|12.8%
栃木 ※3※5|1,349|71,133|1.9%
群馬 ※3※5|2,222|52,062|4.3%
埼玉 ※4|13,724|312,054|4.4%
千葉|10,609|224,133|4.7%
東京 ※1|57,896|975,031|5.9%
神奈川|20,244|342,311|5.9%
新潟 ※3※5|520|27,854|1.9%
富山 ※3※5|548|21,742|2.5%
石川 ※3|1,050|29,508|3.6%
福井 ※3|350|19,268|1.8%
山梨 ※3|525|14,459|3.6%
長野 ※3※5|1,140|47,294|2.4%
岐阜 ※5|2,142|64,835|3.3%
静岡 ※3※4|2,606|88,334|3.0%
※3※4※5 愛知|15,786|199,918|7.9%
三重 ※3|1,248|29,023|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,127|36,772|3.1%
京都|4,455|90,765|4.9%
大阪 ※3※5|29,379|457,909|6.4%
※3※4※5 兵庫|9,432|135,518|7.0%
奈良 ※5|1,936|47,698|4.1%
和歌山|600|16,374|3.7%
鳥取 ※3※4|101|23,698|0.4%
島根 ※5|208|9,344|2.2%
岡山 ※4|1,308|31,723|4.1%
広島 ※3|3,059|73,605|4.2%
山口 ※4|561|26,760|2.1%
徳島 ※3|195|15,180|1.3%
香川 ※5|296|23,771|1.2%
愛媛|445|12,351|3.6%
高知|642|5,808|11.1%
※3※4※5 福岡|8,585|260,551|3.3%
佐賀 ※3|457|14,755|3.1%
長崎|611|38,585|1.6%
熊本|1,739|34,504|5.0%
大分|654|41,963|1.6%
宮崎|715|12,454|5.7%
鹿児島|966|38,299|2.5%
沖縄 ※3|5,260|88,575|5.9%
長崎船 ※2 その他|149|0|-
合計|224,716|4,426,175|5.1%
