都道府県名|陽性者数 検査人数※3||％
北海道|11,171|190,249|5.9%
青森 ※3|373|8,036|4.6%
※3※4※5 岩手|302|11,092|2.7%
宮城 ※3※5|1,507|21,568|7.0%
秋田|94|3,746|2.5%
山形|253|9,068|2.8%
福島 ※3|611|45,348|1.3%
茨城|1,987|17,774|11.2%
栃木 ※3※5|870|61,800|1.4%
群馬 ※3※5|1,652|42,655|3.9%
埼玉 ※4|10,441|261,972|4.0%
千葉|8,189|190,632|4.3%
東京 ※1|47,225|847,224|5.6%
神奈川|15,053|281,819|5.3%
新潟 ※3※5|400|24,496|1.6%
富山 ※3※5|474|18,804|2.5%
石川 ※3|910|24,951|3.6%
福井 ※3|332|16,638|2.0%
山梨 ※3|440|14,073|3.1%
長野 ※3※5|957|35,844|2.7%
岐阜 ※5|1,498|50,550|3.0%
静岡 ※3※4|2,087|67,934|3.1%
※3※4※5 愛知|12,525|152,984|8.2%
三重 ※3|1,055|24,205|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|863|30,933|2.8%
京都|3,076|73,836|4.2%
大阪 ※3※5|24,929|379,572|6.6%
※3※4※5 兵庫|7,228|113,005|6.4%
奈良 ※5|1,493|38,382|3.9%
和歌山|554|14,965|3.7%
鳥取 ※3※4|67|19,495|0.3%
島根 ※5|166|7,659|2.2%
岡山 ※4|702|24,136|2.9%
広島 ※3|1,560|43,500|3.6%
山口 ※4|435|22,347|1.9%
徳島 ※3|187|13,844|1.4%
香川 ※5|199|19,511|1.0%
愛媛|359|9,723|3.7%
高知|357|4,671|7.6%
※3※4※5 福岡|6,622|224,401|3.0%
佐賀 ※3|380|11,860|3.2%
長崎|290|29,884|1.0%
熊本|1,210|27,774|4.4%
大分|516|33,841|1.5%
宮崎|584|10,923|5.3%
鹿児島|823|30,031|2.7%
沖縄 ※3|4,805|79,687|6.0%
長崎船 ※2 その他|149|0|-
合計|177,960|3,687,442|4.8%
