都道府県名|陽性者数 検査人数※3||％
北海道|13,617|241,691|5.6%
青森 ※3|496|9,968|5.0%
※3※4※5 岩手|389|14,448|2.7%
宮城 ※3※5|2,225|24,865|8.9%
秋田|143|4,565|3.1%
山形|391|10,180|3.8%
福島 ※3|969|58,370|1.7%
茨城|2,508|18,572|13.5%
栃木 ※3※5|1,590|73,334|2.2%
群馬 ※3※5|2,381|52,671|4.5%
埼玉 ※4|14,732|321,576|4.6%
千葉|11,458|226,829|5.1%
東京 ※1|61,774|996,675|6.2%
神奈川|22,115|342,311|6.5%
新潟 ※3※5|555|28,256|2.0%
富山 ※3※5|563|21,742|2.6%
石川 ※3|1,097|30,053|3.7%
福井 ※3|359|19,436|1.8%
山梨 ※3|568|14,525|3.9%
⾧野 ※3※5|1,217|48,235|2.5%
岐阜 ※5|2,384|65,843|3.6%
静岡 ※3※4|2,758|88,334|3.1%
※3※4※5 愛知|16,747|199,918|8.4%
三重 ※3|1,311|30,675|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,222|38,009|3.2%
京都|4,803|95,241|5.0%
大阪 ※3※5|30,519|471,150|6.5%
※3※4※5 兵庫|10,132|141,681|7.2%
奈良 ※5|2,077|47,698|4.4%
和歌山|640|16,572|3.9%
鳥取 ※3※4|120|24,205|0.5%
島根 ※5|213|9,344|2.3%
岡山 ※4|1,413|31,723|4.5%
広島 ※3|3,381|75,233|4.5%
山口 ※4|592|26,760|2.2%
徳島 ※3|199|15,372|1.3%
香川 ※5|308|24,430|1.3%
愛媛|477|13,721|3.5%
高知|676|5,977|11.3%
※3※4※5 福岡|8,774|263,231|3.3%
佐賀 ※3|474|15,041|3.2%
⾧崎|703|39,921|1.8%
熊本|1,903|36,364|5.2%
大分|711|43,414|1.6%
宮崎|759|12,454|6.1%
鹿児島|1,016|39,751|2.6%
沖縄 ※3|5,424|90,273|6.0%
⾧崎船 ※2 その他|149|0|-
合計|239,032|4,520,637|5.3%
