都道府県名|陽性者数 検査人数||％
北海道|18,717|364,021|5.1%
青森|812|17,021|4.8%
岩手|549|23,571|2.3%
宮城|3,530|65,664|5.4%
秋田|269|6,949|3.9%
山形|537|17,055|3.1%
福島|1,867|103,670|1.8%
茨城|5,498|24,712|22.2%
栃木|4,012|119,546|3.4%
群馬|4,354|88,125|4.9%
埼玉|28,450|525,732|5.4%
千葉|25,291|384,075|6.6%
東京|109,135|1,474,444|7.4%
神奈川|43,854|565,643|7.8%
新潟|1,028|41,618|2.5%
富山|897|34,876|2.6%
石川|1,760|47,747|3.7%
福井|542|30,269|1.8%
山梨|934|24,827|3.8%
長野|2,354|94,428|2.5%
岐阜|4,652|126,785|3.7%
静岡|4,963|176,824|2.8%
愛知|25,442|371,954|6.8%
三重|2,454|60,178|4.1%
都道府県名|陽性者数 検査人数||％
滋賀|2,361|66,582|3.5%
京都|8,975|149,842|6.0%
大阪|46,427|747,958|6.2%
兵庫|17,706|235,126|7.5%
奈良|3,326|78,866|4.2%
和歌山|1,158|24,142|4.8%
鳥取|207|38,945|0.5%
島根|281|14,340|2.0%
岡山|2,461|60,138|4.1%
広島|4,992|149,155|3.3%
山口|1,366|55,951|2.4%
徳島|446|25,280|1.8%
香川|731|42,942|1.7%
愛媛|1,044|31,147|3.4%
高知|884|7,089|12.5%
福岡|17,656|424,382|4.2%
佐賀|996|26,541|3.8%
長崎|1,590|64,938|2.4%
熊本|3,432|56,279|6.1%
大分|1,280|75,808|1.7%
宮崎|1,943|24,614|7.9%
鹿児島|1,743|64,980|2.7%
沖縄|8,047|140,309|5.7%
長崎船 その他|149|0|-
合計|421,102|7,395,088|5.7%
