都道府県名|陽性者数 検査人数※3||％
北海道|2,181|59,856|3.6%
青森 ※3|37|2,504|1.5%
※3※4※5 岩手|24|4,388|0.5%
宮城 ※3※5|428|10,907|3.9%
秋田|58|2,163|2.7%
山形|78|5,203|1.5%
福島 ※3|269|21,225|1.3%
茨城|677|12,688|5.3%
栃木 ※3|438|32,269|1.4%
群馬 ※3※5|728|23,096|3.2%
埼玉 ※4|4,820|147,205|3.3%
千葉|4,069|97,864|4.2%
東京 ※1|26,550|477,472|5.6%
神奈川|7,147|159,977|4.5%
新潟 ※3※5|170|15,712|1.1%
富山 ※3※5|422|12,744|3.3%
石川 ※3|778|13,544|5.7%
福井 ※3|244|9,880|2.5%
山梨 ※3|194|10,833|1.8%
長野 ※3※5|313|19,422|1.6%
岐阜 ※5|630|23,291|2.7%
静岡 ※3※4|558|35,440|1.6%
※3※4※5 愛知|5,437|79,389|6.8%
三重 ※3|530|13,430|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|506|12,183|4.2%
京都|1,787|44,223|4.0%
大阪 ※3※5|10,840|191,163|5.7%
※3※4※5 兵庫|2,797|58,357|4.8%
奈良 ※5|581|21,281|2.7%
和歌山|242|9,377|2.6%
鳥取 ※3|36|5,500|0.7%
島根 ※5|140|5,829|2.4%
岡山 ※4|161|8,654|1.9%
広島 ※3|604|21,380|2.8%
山口 ※4|201|10,143|2.0%
徳島 ※3|149|7,008|2.1%
香川 ※5|93|11,002|0.8%
愛媛|115|4,131|2.8%
高知|138|3,511|3.9%
※3※4※5 福岡|5,057|136,678|3.7%
佐賀 ※3|246|6,166|4.0%
長崎|238|18,993|1.3%
熊本|626|16,830|3.7%
大分|158|17,325|0.9%
宮崎|344|8,631|4.0%
鹿児島|435|19,588|2.2%
沖縄 ※3|2,607|41,088|6.3%
長崎船 ※2 その他|149|0|-
合計|85,030|1,969,543|4.3%
