都道府県名|陽性者数 検査人数||％
北海道|18,402|347,859|5.3%
青森|794|16,135|4.9%
岩手|519|22,189|2.3%
宮城|3,490|49,624|7.0%
秋田|269|6,879|3.9%
山形|531|16,500|3.2%
福島|1,818|96,660|1.9%
茨城|5,315|24,378|21.8%
栃木|3,938|116,692|3.4%
群馬|4,213|83,749|5.0%
埼玉|27,469|499,404|5.5%
千葉|24,378|370,038|6.6%
東京|105,765|1,416,039|7.5%
神奈川|43,051|542,742|7.9%
新潟|993|39,456|2.5%
富山|886|33,471|2.6%
石川|1,636|45,181|3.6%
福井|528|28,883|1.8%
山梨|919|14,741|6.2%
長野|2,345|90,739|2.6%
岐阜|4,541|117,589|3.9%
静岡|4,809|164,992|2.9%
愛知|25,016|353,866|7.1%
三重|2,370|56,417|4.2%
都道府県名|陽性者数 検査人数||％
滋賀|2,293|63,616|3.6%
京都|8,846|143,753|6.2%
大阪|45,707|711,129|6.4%
兵庫|17,377|224,033|7.8%
奈良|3,242|75,362|4.3%
和歌山|1,140|23,338|4.9%
鳥取|207|37,391|0.6%
島根|280|13,515|2.1%
岡山|2,438|60,138|4.1%
広島|4,924|139,356|3.5%
山口|1,349|52,858|2.6%
徳島|423|23,570|1.8%
香川|716|41,367|1.7%
愛媛|1,029|29,571|3.5%
高知|873|6,995|12.5%
福岡|17,176|403,560|4.3%
佐賀|994|25,910|3.8%
長崎|1,580|62,534|2.5%
熊本|3,403|55,559|6.1%
大分|1,251|72,083|1.7%
宮崎|1,906|24,475|7.8%
鹿児島|1,705|61,179|2.8%
沖縄|7,960|135,770|5.9%
長崎船 その他|149|0|-
合計|410,963|7,041,285|5.8%
