都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|21,975|479,341|844|20|20,334|785
青森|1,215|28,467|132|0|1,063|20
岩手|765|50,875|69|0|665|31
宮城|7,366|107,359|1,037|18|6,234|44
秋田|344|8,739|43|0|292|9
山形|1,258|40,885|253|3|983|22
福島|2,860|166,164|281|12|2,461|118
茨城|7,211|28,059|331|7|6,751|129
栃木|4,985|182,852|198|3|4,717|70
群馬|5,365|122,756|254|6|5,010|101
埼玉|34,728|693,988|1,538|31|32,470|720
千葉|31,008|507,435|895|15|29,517|596
東京|127,385|1,870,387|4,148|41|121,418|1,819
神奈川|49,961|743,206|1,196|27|47,965|800
新潟|1,806|92,954|284|2|1,504|18
富山|1,066|45,338|110|3|927|29
石川|2,094|64,639|143|6|1,883|66
福井|675|40,432|72|1|575|28
山梨|1,036|33,554|45|1|972|19
長野|3,312|130,614|341|1|2,943|47
岐阜|5,205|171,098|179|3|4,897|129
静岡|6,027|266,825|234|4|5,672|121
愛知|29,100|500,368|1,538|7|26,957|605
三重|3,063|82,920|246|7|2,831|74
滋賀|3,054|94,858|230|4|2,765|59
京都|10,384|189,997|639|7|9,590|176
大阪|63,174|1,182,255|10,073|239|51,312|1,234
兵庫|23,286|328,162|2,773|77|19,905|608
奈良|4,729|108,005|728|11|3,943|58
和歌山|1,633|29,191|259|35|1,329|19
鳥取|313|54,323|78|0|223|2
島根|294|18,477|7|0|287|0
岡山|3,023|84,188|166|3|2,603|35
広島|5,302|191,990|91|0|5,099|107
山口|1,473|74,020|46|0|1,384|43
徳島|761|36,076|193|3|544|24
香川|1,012|55,955|125|2|871|19
愛媛|1,776|46,381|288|9|1,463|25
高知|947|7,546|15|1|913|19
福岡|19,592|539,701|526|7|18,725|341
佐賀|1,297|34,192|76|0|1,226|13
長崎|1,683|83,022|46|0|1,598|39
熊本|3,561|59,003|42|3|3,445|74
大分|1,358|99,101|36|1|1,300|22
宮崎|2,025|26,708|62|0|1,938|22
鹿児島|1,930|77,039|69|0|1,857|28
沖縄|11,003|175,496|1,219|11|9,660|130
（その他）|149|-|0|-|149|-
合計|513,569|10,054,941|32,198|631|471,170|9,497
