都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|384,051|2,395,628|5,309|2|376,791|2,096
青森|63,391|267,589|1,911|0|61,366|114
岩手|38,362|302,497|665|0|37,600|97
宮城|94,710|630,837|1,560|3|92,850|201
秋田|32,202|63,889|304|0|31,826|72
山形|30,817|202,285|715|0|30,005|97
福島|67,038|880,727|734|0|66,077|227
茨城|166,121|1,380,150|1,539|0|164,136|446
栃木|94,504|779,694|960|1|93,267|277
群馬|98,824|682,990|1,085|0|97,416|323
埼玉|574,175|2,981,066|8,291|2|564,219|1,665
千葉|467,949|2,212,869|3,912|1|456,924|1,796
東京|1,612,553|7,273,765|29,853|6|1,578,120|4,580
神奈川|787,285|3,152,340|11,642|7|773,405|2,238
新潟|76,245|694,162|948|0|75,206|91
富山|40,497|264,566|1,141|0|39,260|96
石川|60,697|517,999|1,069|1|59,407|198
福井|39,517|344,560|847|0|38,624|46
山梨|34,751|367,347|493|0|34,195|68
長野|78,178|776,630|817|0|77,114|205
岐阜|110,027|948,870|2,097|1|107,358|347
静岡|180,734|1,328,793|3,033|0|177,229|421
愛知|573,126|2,929,780|10,265|1|560,762|2,099
三重|88,399|565,118|2,035|1|88,119|313
滋賀|96,152|687,113|1,501|0|94,430|221
京都|214,083|876,076|3,407|17|209,646|749
大阪|1,022,016|7,521,384|18,522|3|998,283|5,211
兵庫|447,349|1,654,654|6,770|2|438,327|2,252
奈良|96,884|545,637|1,420|1|95,072|392
和歌山|45,393|182,117|1,171|0|43,892|118
鳥取|16,883|429,781|812|0|15,846|20
島根|21,085|234,585|2,881|0|18,187|17
岡山|105,301|624,097|1,210|1|102,840|252
広島|170,317|2,003,045|3,768|1|166,054|495
山口|49,905|611,547|1,521|0|48,203|181
徳島|24,788|230,693|570|0|24,135|85
香川|51,252|293,788|762|0|50,362|128
愛媛|45,734|392,669|2,284|0|43,307|143
高知|31,073|323,703|1,032|1|29,925|116
福岡|453,751|2,851,841|8,412|0|437,569|1,276
佐賀|58,477|298,530|2,348|0|53,332|110
長崎|67,165|442,652|2,815|0|64,236|126
熊本|114,291|305,912|5,550|0|108,435|306
大分|59,170|629,034|1,756|0|57,249|165
宮崎|59,677|195,546|2,070|0|57,375|147
鹿児島|95,275|474,455|3,120|0|91,634|210
沖縄|258,661|935,308|12,273|8|245,839|491
その他（その他）|149|0|0|0|149|0
合計|9,398,984|54,688,318|177,200|60|9,175,603|31,324
