都道府県名|陽性者数 検査人数※3||％
北海道|3,055|81,092|3.8%
青森 ※3|227|4,905|4.6%
※3※4※5 岩手|27|5,309|0.5%
宮城 ※3※5|700|14,012|5.0%
秋田|63|2,487|2.5%
山形|86|6,112|1.4%
福島 ※3|388|29,196|1.3%
茨城|768|13,826|5.6%
栃木 ※3※5|489|42,067|1.2%
群馬 ※3※5|900|29,312|3.1%
埼玉 ※4|5,856|184,967|3.2%
千葉|5,034|126,729|4.0%
東京 ※1|31,096|598,993|5.2%
神奈川|8,711|199,811|4.4%
新潟 ※3※5|184|17,765|1.0%
富山 ※3※5|423|14,487|2.9%
石川 ※3|810|17,272|4.7%
福井 ※3|257|11,058|2.3%
山梨 ※3|212|11,693|1.8%
⾧野 ※3※5|341|23,025|1.5%
岐阜 ※5|686|26,934|2.5%
静岡 ※3※4|636|42,455|1.5%
※3※4※5 愛知|6,130|98,303|6.2%
三重 ※3|565|15,683|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|552|14,455|3.8%
京都|2,014|52,347|3.8%
大阪 ※3※5|12,753|236,613|5.4%
※3※4※5 兵庫|3,222|68,579|4.7%
奈良 ※5|648|24,620|2.6%
和歌山|275|10,428|2.6%
鳥取 ※3|38|5,770|0.7%
島根 ※5|141|6,271|2.2%
岡山 ※4|286|11,198|2.6%
広島 ※3|659|27,466|2.4%
山口 ※4|213|11,915|1.8%
徳島 ※3|164|7,477|2.2%
香川 ※5|101|13,518|0.7%
愛媛|116|4,371|2.7%
高知|144|3,644|4.0%
※3※4※5 福岡|5,226|164,668|3.2%
佐賀 ※3|254|7,081|3.6%
⾧崎|244|22,417|1.1%
熊本|786|19,224|4.1%
大分|159|20,960|0.8%
宮崎|367|8,791|4.2%
鹿児島|468|22,179|2.1%
沖縄 ※3|3,336|57,775|5.8%
⾧崎船 ※2 その他|149|0|-
合計|99,959|2,439,260|4.1%
