都道府県名|陽性者数 検査人数※3||％
北海道|2,854|76,941|3.7%
青森 ※3|195|4,380|4.5%
※3※4※5 岩手|27|5,222|0.5%
宮城 ※3※5|610|13,300|4.6%
秋田|61|2,464|2.5%
山形|86|5,917|1.5%
福島 ※3|387|27,846|1.4%
茨城|744|13,674|5.4%
栃木 ※3※5|480|41,603|1.2%
群馬 ※3※5|874|28,285|3.1%
埼玉 ※4|5,682|177,818|3.2%
千葉|4,880|121,673|4.0%
東京 ※1|30,285|580,494|5.2%
神奈川|8,453|193,081|4.4%
新潟 ※3※5|182|17,489|1.0%
富山 ※3※5|422|14,373|2.9%
石川 ※3|800|16,493|4.9%
福井 ※3|256|10,927|2.3%
山梨 ※3|206|11,474|1.8%
⾧野 ※3※5|334|22,491|1.5%
岐阜 ※5|672|26,370|2.5%
静岡 ※3※4|605|41,601|1.5%
※3※4※5 愛知|5,906|95,251|6.2%
三重 ※3|555|15,441|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|543|13,830|3.9%
京都|1,981|51,562|3.8%
大阪 ※3※5|12,231|227,942|5.4%
※3※4※5 兵庫|3,147|66,897|4.7%
奈良 ※5|626|24,237|2.6%
和歌山|272|10,313|2.6%
鳥取 ※3|37|5,679|0.7%
島根 ※5|141|6,154|2.3%
岡山 ※4|215|10,217|2.1%
広島 ※3|656|27,097|2.4%
山口 ※4|213|11,710|1.8%
徳島 ※3|164|7,421|2.2%
香川 ※5|101|13,252|0.8%
愛媛|116|4,319|2.7%
高知|143|3,615|4.0%
※3※4※5 福岡|5,189|160,141|3.2%
佐賀 ※3|254|6,968|3.6%
⾧崎|244|21,887|1.1%
熊本|774|19,110|4.1%
大分|159|20,342|0.8%
宮崎|367|8,765|4.2%
鹿児島|463|21,887|2.1%
沖縄 ※3|3,217|54,559|5.9%
⾧崎船 ※2 その他|149|0|-
合計|96,958|2,362,512|4.1%
