都道府県名|陽性者数 検査人数※3||％
北海道|13,442|238,793|5.6%
青森 ※3|482|9,774|4.9%
※3※4※5 岩手|385|14,361|2.7%
宮城 ※3※5|2,175|24,571|8.9%
秋田|140|4,565|3.1%
山形|387|10,176|3.8%
福島 ※3|944|57,499|1.6%
茨城|2,446|18,572|13.2%
栃木 ※3※5|1,478|72,484|2.0%
群馬 ※3※5|2,315|52,671|4.4%
埼玉 ※4|14,298|314,223|4.6%
千葉|10,826|224,656|4.8%
東京 ※1|60,177|996,675|6.0%
神奈川|21,263|342,311|6.2%
新潟 ※3※5|540|27,958|1.9%
富山 ※3※5|553|21,742|2.5%
石川 ※3|1,071|29,819|3.6%
福井 ※3|355|19,392|1.8%
山梨 ※3|568|14,525|3.9%
長野 ※3※5|1,183|47,545|2.5%
岐阜 ※5|2,292|65,333|3.5%
静岡 ※3※4|2,679|88,334|3.0%
※3※4※5 愛知|16,315|199,918|8.2%
三重 ※3|1,291|29,023|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,175|37,440|3.1%
京都|4,455|90,765|4.9%
大阪 ※3※5|29,999|466,973|6.4%
※3※4※5 兵庫|9,811|139,076|7.1%
奈良 ※5|2,005|47,698|4.2%
和歌山|616|16,489|3.7%
鳥取 ※3※4|118|24,147|0.5%
島根 ※5|207|9,344|2.2%
岡山 ※4|1,363|31,723|4.3%
広島 ※3|3,230|75,233|4.3%
山口 ※4|587|26,760|2.2%
徳島 ※3|198|15,335|1.3%
香川 ※5|304|24,270|1.3%
愛媛|465|12,634|3.7%
高知|663|5,907|11.2%
※3※4※5 福岡|8,774|263,231|3.3%
佐賀 ※3|468|15,014|3.1%
長崎|611|39,155|1.6%
熊本|1,873|36,058|5.2%
大分|689|42,997|1.6%
宮崎|759|12,454|6.1%
鹿児島|1,006|39,350|2.6%
沖縄 ※3|5,365|89,846|6.0%
長崎船 ※2 その他|149|0|-
合計|232,495|4,486,819|5.2%
