都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|39,492|709,649|6,195|43|32,336|1,191
青森|2,417|46,208|174|4|2,213|30
岩手|1,502|77,388|100|0|1,356|46
宮城|8,975|147,440|208|7|8,677|83
秋田|760|13,808|30|1|714|16
山形|1,998|60,292|104|3|1,849|45
福島|4,643|250,913|164|8|4,326|153
茨城|9,925|32,792|336|8|9,436|153
栃木|6,488|268,216|251|8|6,159|78
群馬|7,917|177,391|247|15|7,526|144
埼玉|44,447|897,578|1,327|41|42,320|800
千葉|37,750|625,967|973|22|36,087|690
東京|163,680|2,326,889|4,286|60|157,286|2,108
神奈川|62,815|945,347|1,902|69|60,004|909
新潟|3,297|149,085|221|5|3,036|40
富山|1,922|65,994|177|8|1,709|36
石川|3,839|101,552|255|8|3,472|109
福井|1,054|60,146|25|0|995|34
山梨|1,576|44,960|88|1|1,469|19
長野|4,875|183,346|196|5|4,662|85
岐阜|9,108|246,608|605|24|8,335|168
静岡|8,629|361,571|581|8|7,910|138
愛知|48,595|731,903|4,007|84|43,749|839
三重|5,047|129,213|313|10|4,760|107
滋賀|5,296|134,269|404|14|4,810|82
京都|16,102|261,063|633|24|15,202|221
大阪|100,865|1,891,816|7,207|285|90,334|2,417
兵庫|40,145|469,607|1,138|77|37,793|1,220
奈良|8,009|154,880|232|8|7,659|118
和歌山|2,637|40,741|52|14|2,485|45
鳥取|466|74,560|22|0|435|2
島根|545|27,832|44|3|501|0
岡山|7,476|148,791|578|18|6,712|111
広島|10,978|508,069|589|22|9,818|144
山口|2,994|108,624|257|6|2,670|67
徳島|1,636|59,919|21|1|1,552|63
香川|2,037|79,493|85|6|1,931|26
愛媛|2,726|89,424|43|4|2,609|74
高知|1,600|10,302|198|11|1,381|21
福岡|34,643|767,820|2,853|62|31,233|479
佐賀|2,528|51,498|82|3|2,456|21
長崎|2,994|114,434|168|4|2,758|68
熊本|6,340|79,571|343|19|5,892|105
大分|3,439|151,206|202|4|3,182|55
宮崎|3,046|43,344|73|2|2,937|26
鹿児島|3,497|105,045|273|3|3,209|31
沖縄|18,499|224,918|2,730|88|15,622|153
（その他）|149|-|0|-|149|-
合計|759,398|14,251,482|40,992|1,120|703,716|13,570
